business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KOTTOOR ROADLINES,Bus Booking Agency,Bus tour agency,Bus tour agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,https://www.facebook.com/groups/1518586868273784/?ref=share,4.8,,"6Q79+573, Chandanapally - Vallicode Rd, Nadavallil, Chandanappally, Keralam 689648",Nadavallil,9.2128792,76.7681755,ChIJyX3EOioVBjsRoTYhgvILnQ0,https://www.google.com/maps/place/?q=place_id:ChIJyX3EOioVBjsRoTYhgvILnQ0,part_304,2026-09-20 20:48:48,2015
Kerala Lines Travel Center,Bus Booking Agency,Travel agency,Travel agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 468 222 9199,http://www.keralalines.com/,3.8,,"7Q6J+WW2, Pathanamthitta, Keralam 689645",689112,9.2622731,76.7822698,ChIJu6qqqgUVBjsRK5Qg2LHpLzg,https://www.google.com/maps/place/?q=place_id:ChIJu6qqqgUVBjsRK5Qg2LHpLzg,part_304,2026-09-20 20:48:48,2016
OTTAYAN HOLIDAYS,Bus Booking Agency,Travel agency,"Travel agency, Bus tour agency, Lodging, Tour agency, Tour operator",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94958 74342,N/A,5.0,,"Ground Floor Room No 7, Revenue Tower, 5P5J+66 Adoor, Kerala, India AMG GROUP, Police Station Road, Parass La, Adoor, Keralam 691523",Parass La,9.158206999999999,76.7305408,ChIJjfYo7MIRBjsRqnj3gVm2b9k,https://www.google.com/maps/place/?q=place_id:ChIJjfYo7MIRBjsRqnj3gVm2b9k,part_304,2026-09-20 20:48:48,2017
Murahara Tours And Travels,Bus Booking Agency,Travel agency,Travel agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 77360 10000,http://muraharatravels.co.in/,3.7,,"Kumbazha - Konni - Vettor Rd, Konni, Keralam 689691",689112,9.2272029,76.8508604,ChIJuaQjvGlrBjsR41tlDq7iMdM,https://www.google.com/maps/place/?q=place_id:ChIJuaQjvGlrBjsR41tlDq7iMdM,part_304,2026-09-20 20:48:48,2018
SHERSON HOLIDAYS,Bus Booking Agency,Travel agency,Travel agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94002 43431,N/A,5.0,,"Revenue Tower, Parass La, Adoor, Keralam 691523",Parass La,9.157390399999999,76.7286994,ChIJRU-eNAARBjsRyjqeHUyHHX8,https://www.google.com/maps/place/?q=place_id:ChIJRU-eNAARBjsRyjqeHUyHHX8,part_304,2026-09-20 20:48:48,2019
Sariga Travels,Bus Booking Agency,Travel agency,Travel agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 4734 224 221,N/A,3.1,,"5P4H+W76, Parass La, Adoor, Kerala 691523",Parass La,9.157286,76.7281251,ChIJx5ai84YRBjsRmYOEsqYFcjQ,https://www.google.com/maps/place/?q=place_id:ChIJx5ai84YRBjsRmYOEsqYFcjQ,part_304,2026-09-20 20:48:48,2020
Napoleon Holidays,Bus Booking Agency,Bus tour agency,Bus tour agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94479 92252,N/A,4.5,,"Kodumon, Chalamukku, Keralam 691555",689112,9.1879449,76.7783147,ChIJg3W7LBATBjsRi23qUAQ_cTw,https://www.google.com/maps/place/?q=place_id:ChIJg3W7LBATBjsRi23qUAQ_cTw,part_304,2026-09-20 20:48:48,2021
SK Travels,Bus Booking Agency,Bus tour agency,Bus tour agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.9,,"9JX8+WXR, Njalikandam - Kadamankulam Rd, Kaviyoor, Keralam 689582",689112,9.3998709,76.61739039999999,ChIJO7TJUnklBjsRZ2SPmq0YXco,https://www.google.com/maps/place/?q=place_id:ChIJO7TJUnklBjsRZ2SPmq0YXco,part_304,2026-09-20 20:48:48,2022
"Municipal Bus Stand, Pathanamthitta",Bus Booking Agency,Transportation service,Transportation service,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,3.5,,"7Q8R+VC2, Pathanamthitta, Keralam 689645",689112,9.267131,76.7910188,ChIJNQOi1A8VBjsRZrb7fi8xQ_8,https://www.google.com/maps/place/?q=place_id:ChIJNQOi1A8VBjsRZrb7fi8xQ_8,part_304,2026-09-20 20:48:48,2023
VEE AND VEE TRAVEL AND TOURISM,Bus Booking Agency,Travel agency,Travel agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 81297 19551,http://www.veeandveetravels.com/,4.9,,"First Floor, Kandathil Building, opp. Federal Bank, Ramanchira, Thiruvalla, Keralam 689107",Ramanchira,9.3954574,76.5698962,ChIJ30sd4_klBjsRZYqeAl2kAU8,https://www.google.com/maps/place/?q=place_id:ChIJ30sd4_klBjsRZYqeAl2kAU8,part_304,2026-09-20 20:48:48,2024
Bluenile Travels,Bus Booking Agency,Bus tour agency,Bus tour agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94475 61418,N/A,5.0,,"Puramattom panchayath, Vennikulam, Puramattam, Keralam 689544",Puramattom panchayath,9.3943241,76.656212,ChIJR-mADbs7BjsR_Zm_GxPq2GQ,https://www.google.com/maps/place/?q=place_id:ChIJR-mADbs7BjsR_Zm_GxPq2GQ,part_304,2026-09-20 20:48:49,2025
Vishukkani Travels,Bus Booking Agency,Travel agency,Travel agency,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 97447 71194,N/A,4.7,,"Chengannur, Thiruvalla, Kerala 689101",689112,9.383542,76.5691385,ChIJ1_vVxw4kBjsRGlQkBOOn6Lk,https://www.google.com/maps/place/?q=place_id:ChIJ1_vVxw4kBjsRGlQkBOOn6Lk,part_304,2026-09-20 20:48:49,2026
Anjali Travels,Bus Booking Agency,Travel agency,"Travel agency, Tour operator",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 94003 75715,N/A,3.4,,"John Mathew, Cheppilayil, Kavumbhagom, Thiruvalla, Keralam 689102",Cheppilayil,9.376850899999999,76.5561985,ChIJlXpt2pMnBjsRZ68fNblLx0E,https://www.google.com/maps/place/?q=place_id:ChIJlXpt2pMnBjsRZ68fNblLx0E,part_304,2026-09-20 20:49:24,5708
Jaylakshmi travels,Bus Booking Agency,Travel agency,Travel agency,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 95399 49088,http://jayalakshmitravels.com/services.html,4.5,,"9HQ5+58V, Junction, Kavumbhagom, Thiruvalla, Keralam 689113",689113,9.387994299999999,76.55828629999999,ChIJIQ8E0dIlBjsRZLRHU8pzUVY,https://www.google.com/maps/place/?q=place_id:ChIJIQ8E0dIlBjsRZLRHU8pzUVY,part_304,2026-09-20 20:49:24,5709
Suresh Kallada TOURS & TRAVELS,Bus Booking Agency,Travel agency,Travel agency,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 93888 85500,http://www.kalladatravels.com/,3.2,,"Perunna, Changanassery, Keralam 686102",Perunna,9.4368042,76.5435809,ChIJNVVVlXQmBjsR5O6wmn2bQfI,https://www.google.com/maps/place/?q=place_id:ChIJNVVVlXQmBjsR5O6wmn2bQfI,part_304,2026-09-20 20:49:24,5710
Cheppilayil Travels,Bus Booking Agency,Bus tour agency,Bus tour agency,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",N/A,N/A,5.0,,"9HG4+QPH, Kavumbhagom, Thiruvalla, Keralam 689102",689113,9.3769299,76.55685919999999,ChIJe33nVtIlBjsR-iF3KP3EjuE,https://www.google.com/maps/place/?q=place_id:ChIJe33nVtIlBjsR-iF3KP3EjuE,part_304,2026-09-20 20:49:24,5711
Sulthan Holidays Pathanamthitta,Bus Booking Agency,Bus tour agency,Bus tour agency,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 97453 55155,https://sulthanholidays.com/,4.6,28.0,"KSRTC Road, Pathanamthitta, Keralam 689645",689113,9.2842074,76.791358,ChIJXZxVg0k5BjsRHC_fEcVBD-g,https://www.google.com/maps/place/?q=place_id:ChIJXZxVg0k5BjsRHC_fEcVBD-g,part_304,2026-09-20 20:49:25,5712
