business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mistywindvalley Resort,Resort,Resort hotel,"Resort hotel, Hotel",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 75106 48867,http://www.mistywindvalley.in/,4.8,,"216, Illikkal Kallu Road, Moonnilavu, Thalanadu, Keralam 686586",686518,9.7522061,76.7983266,ChIJ_w74S1jJBzsRgLGF7bxtMAM,https://www.google.com/maps/place/?q=place_id:ChIJ_w74S1jJBzsRgLGF7bxtMAM,part_301,2026-09-20 20:17:02,3918
Kanakakunnu Hill Resort,Resort,Hotel,Hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99478 47039,N/A,4.4,,"GVJ4+F2G, Cherumala,, Edakkunnam, Keralam 686512",686518,9.5311801,76.85507559999999,ChIJDckM2btJBjsRMYH2MzZqhWg,https://www.google.com/maps/place/?q=place_id:ChIJDckM2btJBjsRMYH2MzZqhWg,part_301,2026-09-20 20:17:02,3919
Rain Forest Ayur County Resort,Resort,Resort hotel,Resort hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 70341 13330,http://rainforestayur.com/,4.1,,"Thoothootty Junction, opposite KIMS Hospital, Kudamaloor, Kottayam, Keralam 686016",Kudamaloor,9.624735099999999,76.5202516,ChIJAynYqjsrBjsRjwV-NrwCfTA,https://www.google.com/maps/place/?q=place_id:ChIJAynYqjsrBjsRjwV-NrwCfTA,part_301,2026-09-20 20:17:02,3920
Gairah Resort,Resort,Resort hotel,"Resort hotel, Hotel, Restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 80789 90499,https://gairahresorts.com/,4.8,,"Kuttiplangadu Post, Kokkayar Urumbikkara, Keralam 686514",686518,9.607077199999999,76.91453109999999,ChIJ7eo57nhLBjsRM_zriCp5hBA,https://www.google.com/maps/place/?q=place_id:ChIJ7eo57nhLBjsRM_zriCp5hBA,part_301,2026-09-20 20:17:02,3921
Kalathil Lake Resort,Resort,Resort hotel,"Resort hotel, Golf course, Health resort, Restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99467 11182,http://www.kalathillakeresort.com/,4.1,,"Near Indo American Hospital, Chemmanakary, Akkarappadam (Post), Vaikom, Kottayam, Kerala South India, Pin, Keralam 686143",686518,9.7937336,76.3756181,ChIJpUkDdcqBCDsR5EnLVjauyqs,https://www.google.com/maps/place/?q=place_id:ChIJpUkDdcqBCDsR5EnLVjauyqs,part_301,2026-09-20 20:17:02,3922
Tranquil Riverview Inn,Resort,Resort hotel,"Resort hotel, Banquet hall, Conference center, Hotel, Restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 90723 92253,https://tranquilriverviewinn.com/,4.8,,"Neerikkadu Poovathummudu, Keralam 686564",686518,9.6340146,76.570472,ChIJycdRz88tBjsRp_2xP19UK_M,https://www.google.com/maps/place/?q=place_id:ChIJycdRz88tBjsRp_2xP19UK_M,part_301,2026-09-20 20:17:02,3923
Rock View Resort,Resort,Resort hotel,"Resort hotel, Holiday apartment rental, Hotel, Natural rock climbing area, Nature preserve, Park, Restaurant, Swimming pool, Tourist attraction",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 4869 291 198,https://www.rockviewresort.in/,4.8,,"MW66+6HQ, Thangalpara, Vagamon, Keralam 685501",Thangalpara,9.6598166,76.9120535,ChIJyzku6R21BzsR7rDi_8xZrl0,https://www.google.com/maps/place/?q=place_id:ChIJyzku6R21BzsR7rDi_8xZrl0,part_301,2026-09-20 20:17:02,3924
Urumbi Hill Palace,Resort,Resort hotel,"Resort hotel, Guest house",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 79947 79919,http://www.urumbihillpalace.in/,4.2,,"HWVC+J3Q, Elappara Rd, Yendayar, Keralam 686514",686518,9.5940867,76.9202419,ChIJ____PxJLBjsRRSDFebK8HmY,https://www.google.com/maps/place/?q=place_id:ChIJ____PxJLBjsRRSDFebK8HmY,part_301,2026-09-20 20:17:02,3925
Earathu Heritage,Resort,Resort hotel,"Resort hotel, Home Stay",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99953 52464,https://www.earathuheritage.com/,4.6,,"Aerathu padi - Mailikassery Rd, Kerala 686577, Pala, Keralam 686577",686518,9.6415425,76.743085,ChIJFTHlF600BjsRb0gH09nEBYo,https://www.google.com/maps/place/?q=place_id:ChIJFTHlF600BjsRb0gH09nEBYo,part_301,2026-09-20 20:17:02,3926
Black Nest,Resort,Resort hotel,Resort hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,3.9,,"Mannamplavu, Mannarakkayam P.O, Kanjirappally, Chirakkadavu, Keralam 686506","Mannamplavu, Mannarakkayam P.O",9.5365138,76.7860092,ChIJaQ2yqpE3BjsR8alp6mXfcCs,https://www.google.com/maps/place/?q=place_id:ChIJaQ2yqpE3BjsR8alp6mXfcCs,part_301,2026-09-20 20:17:02,3927
Olga Resorts,Resort,Resort hotel,Resort hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99950 04229,https://olgaresorts.com/,4.7,,"thangalpara, Vagamon, Keralam 686514",thangalpara,9.6638348,76.9030307,ChIJCxW1PAC1BzsRgvpDZjPcBrw,https://www.google.com/maps/place/?q=place_id:ChIJCxW1PAC1BzsRgvpDZjPcBrw,part_301,2026-09-20 20:17:02,3928
Kumarakom Lake Resort,Resort,Resort hotel,Resort hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,https://www.kumarakomlakeresort.in/,4.6,,"North, Post, Vayitharamattom, Kumarakom, Keralam 686563",Vayitharamattom,9.6121461,76.4308952,ChIJhwgSEWuACDsRP6kAS6wxk3Y,https://www.google.com/maps/place/?q=place_id:ChIJhwgSEWuACDsRP6kAS6wxk3Y,part_301,2026-09-20 20:17:02,3929
