business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Blossom Exclusive Store Karunagapally,Readymade Garments Shop,Women's clothing store,Women's clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 97451 58465,N/A,4.9,634.0,"Pulliman Junction North, opp. Juma Masjid, Puthiyakavu, Karunagappalli, Keralam 690518",Puthiyakavu,9.0707153,76.5346273,ChIJGz-6AL0DBjsReNpgN6irV6s,https://www.google.com/maps/place/?q=place_id:ChIJGz-6AL0DBjsReNpgN6irV6s,part_307,2026-09-20 20:16:39,945
AAMEES FASHIONS,Readymade Garments Shop,Clothing store,"Clothing store, Baby store, Children's clothing store, Clothing Accessories Store, Maternity store, Women's clothing store",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 79074 01788,N/A,4.9,151.0,"WEST SIDE, AAMEES FASHIONS,TEMPLE ROAD, OLD, NH OLD NH, opposite ROYALE REGENCY HALL, Oachira, Kerala 690526",690526,9.1303524,76.5143087,ChIJB08L_WIdBjsROjBdYj0gyiI,https://www.google.com/maps/place/?q=place_id:ChIJB08L_WIdBjsROjBdYj0gyiI,part_307,2026-09-20 20:16:39,946
Suchee Garments,Readymade Garments Shop,Clothing store,Clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 98470 58557,N/A,4.9,148.0,"Andamukkam, Thamarakulam, Kollam, Keralam 691001","Andamukkam, Thamarakulam",8.8836921,76.5853932,ChIJlwIwTeD9BTsRHBkAfbGfmjQ,https://www.google.com/maps/place/?q=place_id:ChIJlwIwTeD9BTsRHBkAfbGfmjQ,part_307,2026-09-20 20:16:39,947
TALA COUTURE,Readymade Garments Shop,Women's clothing store,Women's clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,13.0,"4GJ8+FVW, Oachira, Keralam 690526",690526,9.131212,76.517116,ChIJg7IqU1UdBjsRYxu39V_pqfc,https://www.google.com/maps/place/?q=place_id:ChIJg7IqU1UdBjsRYxu39V_pqfc,part_307,2026-09-20 20:16:39,948
ARAMAM CLOTH HOUSE,Readymade Garments Shop,Clothing store,Clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 99471 58100,N/A,4.2,13.0,"opposite regency hall, Oachira, Keralam 690526",690526,9.1315973,76.5148047,ChIJJUjHJcMcBjsRK02ZifHAeCA,https://www.google.com/maps/place/?q=place_id:ChIJJUjHJcMcBjsRK02ZifHAeCA,part_307,2026-09-20 20:16:39,949
1947,Readymade Garments Shop,Men's clothing store,Men's clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 95263 05468,N/A,4.5,16.0,"Oachira, Keralam 690526",690526,9.1314982,76.5139556,ChIJFaqqzdwcBjsRSk39b1HrJds,https://www.google.com/maps/place/?q=place_id:ChIJFaqqzdwcBjsRSk39b1HrJds,part_307,2026-09-20 20:16:39,950
Blossom Exclusive Store Kollam,Readymade Garments Shop,Women's clothing store,"Women's clothing store, Children's clothing store, Clothing store, Lingerie store, Sportswear store, Underwear store",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 97451 58465,https://blossominners.com/a/storelocator,4.9,1223.0,"Ashramam Rd, opposite Karnataka Bank, Kadapakkada, Kollam, Keralam 691008",Kadapakkada,8.8938518,76.60090869999999,ChIJ2etFLYj9BTsRVRn2xCdyzHQ,https://www.google.com/maps/place/?q=place_id:ChIJ2etFLYj9BTsRVRn2xCdyzHQ,part_307,2026-09-20 20:16:39,951
CORBY CLOTHING,Readymade Garments Shop,Clothing store,Clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.7,20.0,"66, Ayathil, Kollam, Keralam 691004",Ayathil,8.892487299999999,76.6293805,ChIJr7i0SQD9BTsRU5LIbyNz_zY,https://www.google.com/maps/place/?q=place_id:ChIJr7i0SQD9BTsRU5LIbyNz_zY,part_307,2026-09-20 20:16:39,952
D SPOT,Readymade Garments Shop,Clothing store,Clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 90613 70412,N/A,4.6,83.0,"Ochira Rd, Oachira, Krishnapuram, Keralam 690533",690526,9.1390349,76.5122562,ChIJWTYYfuAdBjsRk7b0fq_D3yA,https://www.google.com/maps/place/?q=place_id:ChIJWTYYfuAdBjsRk7b0fq_D3yA,part_307,2026-09-20 20:16:39,953
SREYAS TEXTILES,Readymade Garments Shop,Clothing store,Clothing store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94462 12615,N/A,3.0,1.0,"SHOP NUMBER 317,USHAS BUILDING OPPSIT OCHIRA TEMBLE, ALLAPPUZHA ROAD, Oachira, Keralam 690526",690526,9.1349123,76.512981,ChIJa-SmgbMdBjsRaKzCyl9U0mA,https://www.google.com/maps/place/?q=place_id:ChIJa-SmgbMdBjsRaKzCyl9U0mA,part_307,2026-09-20 20:16:39,954
