business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Friends Tyre Works And Mobile Puncture Works,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 99610 53021,N/A,4.6,41.0,"9HPP+2XP, Manjadi, Thiruvalla, Keralam 689105",689112,9.3850591,76.5874785,ChIJNUxgmZUlBjsRrgM0DQof12M,https://www.google.com/maps/place/?q=place_id:ChIJNUxgmZUlBjsRrgM0DQof12M,part_304,2026-09-20 20:48:47,1935
M.M Tyres,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Auto Accessories Wholesaler",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94466 14962,N/A,4.6,21.0,"opp. Post Office, Kumbazha, Mylapra, Pathanamthitta, Keralam 689653","Kumbazha, Mylapra",9.2654693,76.804786,ChIJa1_jMT0VBjsRCStpDaxCvJc,https://www.google.com/maps/place/?q=place_id:ChIJa1_jMT0VBjsRCStpDaxCvJc,part_304,2026-09-20 20:48:47,1936
MRF T&S - Tyre Centre & Agencies,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 81568 51870,https://dealers.mrftyres.com/mrf-t-s-tyre-centre-agencies-tyre-shop-mazhuvangadu-thiruvalla-376956/Home?utm_source=locator&utm_medium=googleplaces,4.2,301.0,"Shop No XV/64/3, Kurisummootil Building, MC Road Mazhuvangadu, near HP Petrol Pump, Thiruvalla, Keralam 689101",689112,9.3778557,76.5755685,ChIJpb7CsXUkBjsRWbBpeyvIdN4,https://www.google.com/maps/place/?q=place_id:ChIJpb7CsXUkBjsRWbBpeyvIdN4,part_304,2026-09-20 20:48:47,1937
GRAND TYRES,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.1,9.0,"9G8W+GCV, Podiyadi, Thiruvalla, Keralam 689110",Podiyadi,9.3663594,76.5460621,ChIJiSlQ6gohBjsR8c8-c-uopaw,https://www.google.com/maps/place/?q=place_id:ChIJiSlQ6gohBjsR8c8-c-uopaw,part_304,2026-09-20 20:48:47,1938
"Yokohama Club Network - Perfect Wheels, Chittoor",Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Car wash",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94475 71090,https://stores.yokohama-india.com/tyre-shop-chittoor-pathanamthitta-36276/home,4.2,229.0,"Opp.Bishop's House, Kozhencherry Road, Pathanamthitta, Keralam 689645",Chittoor,9.269679,76.76982459999999,ChIJvasVQZYVBjsRHNUKYw_8xuY,https://www.google.com/maps/place/?q=place_id:ChIJvasVQZYVBjsRHNUKYw_8xuY,part_304,2026-09-20 20:48:47,1939
Bridgestone Select - Thiruvalla Auto Scan & GRS Tyre World,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Tire repair shop, Tire service, Wheel alignment service, Wheel store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 80 3751 3891,https://tyreshop.bridgestone.co.in/bridgestone/tyre-shops-in-thiruvalla/tyre-shops-in-thiruvalla-bypass-road/bridgestone-select-thiruvalla-auto-scan-grs-tyre-world-in-thiruvalla-bypass-road-thiruvalla--636ce72b-6288-43c9-8cac-65166c1b76f4/home,4.3,119.0,"Ground Floor, Chilanka, Shop No, 13/194, Thiruvalla Bypass Rd, nearby Chilanka Cinema Theatre, Thiruvalla, Keralam 689101",689112,9.3894123,76.57733739999999,ChIJHchjLGwkBjsROLeQEu2pDyw,https://www.google.com/maps/place/?q=place_id:ChIJHchjLGwkBjsROLeQEu2pDyw,part_304,2026-09-20 20:48:47,1940
Goodyear Autocare - New India Tyres,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Auto repair shop, Tire repair shop, Wheel alignment service",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94474 29870,https://www.goodyear.co.in/,4.2,147.0,"MC Road, Kulanda, Bridge, near Pandalam, Pandalam, Keralam 689503",689112,9.2351874,76.672202,ChIJCWrqoxEXBjsRD5XOWKlNQ04,https://www.google.com/maps/place/?q=place_id:ChIJCWrqoxEXBjsRD5XOWKlNQ04,part_304,2026-09-20 20:48:47,1941
"GRACE TYRES, Wheel Alignment & Tyre shop,Adoor,",Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Auto repair shop, Battery Store, Bike wash, Auto Accessories Store, Car wash, Helmet Shop, Wheel alignment service, Wheel store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94961 58996,N/A,4.6,197.0,"SH 1, opposite IOC fuel station, Adoor, Keralam 691523",689112,9.1504251,76.7343645,ChIJj11-cTYTBjsREoUI0kZzmH0,https://www.google.com/maps/place/?q=place_id:ChIJj11-cTYTBjsREoUI0kZzmH0,part_304,2026-09-20 20:48:47,1942
Apollo tyre works,Tyre Showroom and Puncture Shop,Motorcycle shop,Motorcycle shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 89212 59716,https://www.apollotyres.com/,4.6,45.0,"5, Pandalam - Kaippattoor Road, Pandalam, Keralam 689501",689112,9.2245932,76.6817842,ChIJRQnTQpsXBjsRu1BKpnXz9sQ,https://www.google.com/maps/place/?q=place_id:ChIJRQnTQpsXBjsRu1BKpnXz9sQ,part_304,2026-09-20 20:48:47,1943
Tyre Shopee,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98106 91808,N/A,4.8,162.0,"Pathanamthitta-Thazhoorkadavu Rd, Azhoor, Pathanamthitta, Keralam 689645",Azhoor,9.2577509,76.7843644,ChIJFbJDuhoVBjsRpichcAP0UDI,https://www.google.com/maps/place/?q=place_id:ChIJFbJDuhoVBjsRpichcAP0UDI,part_304,2026-09-20 20:48:47,1944
Bridgestone Select - Kingson Tyres,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Tyre manufacturer, Tire repair shop, Tire service, Wheel alignment service, Wheel store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 80 3701 3836,https://tyreshop.bridgestone.co.in/bridgestone/tyre-shops-in-pathanamthitta/tyre-shops-in-kumbazha/bridgestone-select-kingson-tyres-in-kumbazha-pathanamthitta--1df8e391-f24d-483b-a504-d20bb60b1229/home,4.1,204.0,"Chotiya, Kadavil Building, Kumbazha - Malayalapuzha Rd, nearby bridge, Kumbazha, Mylapra, Pathanamthitta, Keralam 689653","Kumbazha, Mylapra",9.2620498,76.8069306,ChIJ_VlSoSMVBjsR3TW7O55UI6g,https://www.google.com/maps/place/?q=place_id:ChIJ_VlSoSMVBjsR3TW7O55UI6g,part_304,2026-09-20 20:48:47,1945
Royal Wheels,Tyre Showroom and Puncture Shop,Wheel alignment service,Wheel alignment service,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 96569 23000,N/A,4.7,7.0,"Pallattutharayil Royal Wheels, Thekkemala, Kozhencherry, Keralam 689654",Thekkemala,9.3272865,76.7081463,ChIJD7_sIMY9BjsRcUw8IeLoMDU,https://www.google.com/maps/place/?q=place_id:ChIJD7_sIMY9BjsRcUw8IeLoMDU,part_304,2026-09-20 20:48:47,1946
Alex Tyre Care,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Wheel alignment service",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94004 38616,N/A,4.1,55.0,"Kottayam - Kozhenchery Rd, Thottapuzhassery, Chettimukku, Keralam 689549",689112,9.3428045,76.6898592,ChIJ37yPZVY8BjsR7T9lWchxjmw,https://www.google.com/maps/place/?q=place_id:ChIJ37yPZVY8BjsR7T9lWchxjmw,part_304,2026-09-20 20:48:47,1947
