business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aswini Healthcare - Ayurveda,Ayurvedic Pharmacy and Clinic,Alternative Medicine Clinic,"Alternative Medicine Clinic, Hospital",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 83018 91992,http://awmhealthcare.com/,4.9,29.0,"Ground floor, Aban arcade, Pathanamthitta Ring Rd, Pathanamthitta, Keralam 689645",689675,9.2656868,76.7901363,ChIJybGmLg4VBjsRDRuWyZENZn0,https://www.google.com/maps/place/?q=place_id:ChIJybGmLg4VBjsRDRuWyZENZn0,part_306,2026-09-20 20:16:45,1639
Pathanamthitta District Ayurveda Hospital,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.3,64.0,"9P3J+349, Cherukolpuzha - Ranni Rd, Cherukolpuzha, Keralam 689611",689675,9.352673399999999,76.7303438,ChIJ90sI5CY8BjsR5xx4nI_WhqY,https://www.google.com/maps/place/?q=place_id:ChIJ90sI5CY8BjsR5xx4nI_WhqY,part_306,2026-09-20 20:16:45,1640
Ayurveda Dispensary Pathanamthitta Municipality,Ayurvedic Pharmacy and Clinic,Government hospital,Government hospital,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 468 208 0244,N/A,4.6,18.0,"REVATHY BHAVAN, Azhoor, Pathanamthitta, Keralam 689645",Azhoor,9.254622099999999,76.78749909999999,ChIJxX4iTyUVBjsRc-2iAG2tssE,https://www.google.com/maps/place/?q=place_id:ChIJxX4iTyUVBjsRc-2iAG2tssE,part_306,2026-09-20 20:16:45,1641
Vedagram Hospital,Ayurvedic Pharmacy and Clinic,Hospital,"Hospital, Cafeteria, Educational institution, Medical laboratory, Meditation center, Research foundation, Yoga instructor",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,http://www.vedagram.com/,4.6,104.0,"6QP5+3Q6, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.2363403,76.75790289999999,ChIJE8psyTgUBjsRCem5z6VqLlg,https://www.google.com/maps/place/?q=place_id:ChIJE8psyTgUBjsRCem5z6VqLlg,part_306,2026-09-20 20:16:45,1642
Ayurveda Hospital,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.0,1.0,"Ayurvaidhyam Vaidhyasala & Panchakarma Centre, Junction, opp. Sree Narayana Gurumandhiram, near Post Office, Vazhamuttom East, Pathanamthitta, Keralam 689646",Vazhamuttom East,9.2336818,76.7943865,ChIJocEqT14VBjsR7QrgoXkI25k,https://www.google.com/maps/place/?q=place_id:ChIJocEqT14VBjsR7QrgoXkI25k,part_306,2026-09-20 20:16:45,1643
Anima Ayurvedic Medical Centre | Mallappally Pathanamthitta Kerala,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94963 70197,http://www.animaayurveda.com/,4.9,451.0,"FJ2X+4PG, SH 9, Mallappally, Keralam 689585",689675,9.4517364,76.6505103,ChIJ4SDdBBA7BjsRKenrDeNmIB8,https://www.google.com/maps/place/?q=place_id:ChIJ4SDdBBA7BjsRKenrDeNmIB8,part_306,2026-09-20 20:16:45,1644
Chaithanya Ayurveda Hospital,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative Medicine Clinic, Alternative medicine practitioner, Health spa, Herbal medicine store, Hospital, Weight loss service",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 85479 29836,http://www.chaithanyaayurvedaretreat.com/,4.8,49.0,"Chaithanya Ayurveda Hospital Mundukottakkal Complex, Perumpuzha, Ranni, Keralam 689672",Perumpuzha,9.3773392,76.7787943,ChIJS725MtM_BjsRXVq1gkoL4hc,https://www.google.com/maps/place/?q=place_id:ChIJS725MtM_BjsRXVq1gkoL4hc,part_306,2026-09-20 20:16:45,1645
Aswini Medicines,Ayurvedic Pharmacy and Clinic,Wholesaler,"Wholesaler, FMCG Goods Wholesaler, Logistics service, Pet supply store, Pharmacy",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94002 39703,https://aswinimedicines.com/,4.8,48.0,"ASWINI CORPORATE OFFICE,ASWINI TRADE CENTER,GHSS ROAD, Pathanamthitta, Keralam 689645",689675,9.2677993,76.7878546,ChIJ4_6mBQ8VBjsRvraZqbohpZ4,https://www.google.com/maps/place/?q=place_id:ChIJ4_6mBQ8VBjsRvraZqbohpZ4,part_306,2026-09-20 20:16:45,1646
Champakkara Ayurvedic Center,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94956 53481,N/A,5.0,24.0,"8PG3+634, Mavelikkara - Chengannur - Kozhenchery Rd, Kozhencherry, Keralam 689533",689675,9.3264085,76.7027281,ChIJebNcUVQ9BjsRK9IJoL4YwRo,https://www.google.com/maps/place/?q=place_id:ChIJebNcUVQ9BjsRK9IJoL4YwRo,part_306,2026-09-20 20:16:45,1647
Shifa Ayurveda Clinic,Ayurvedic Pharmacy and Clinic,Medical Center,Medical Center,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 99611 16832,N/A,4.2,5.0,"Kochalummoodu - Pandalam Rd, Pandalam, Keralam 689501",689675,9.2242733,76.6773233,ChIJQzddPSMXBjsRUb41anko-a4,https://www.google.com/maps/place/?q=place_id:ChIJQzddPSMXBjsRUb41anko-a4,part_306,2026-09-20 20:16:45,1648
