business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hotel Highway palace,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 82816 72658,N/A,3.7,,"37(1/43, NH 183, Pulickal Kavala, Vazhoor, Keralam 686515",Pulickal Kavala,9.5642326,76.6852675,ChIJl_WyAwAzBjsRfqPeBxFXVqI,https://www.google.com/maps/place/?q=place_id:ChIJl_WyAwAzBjsRfqPeBxFXVqI,part_301,2026-09-20 20:16:38,531
Highway park restaurant,Dhaba and Highway Restaurant,Restaurant,Restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 481 250 6070,N/A,3.8,,"HJ9R+8PW, South Pampady, Pampady, Keralam 686502",South Pampady,9.5683125,76.6418125,ChIJO7VAQgAzBjsR2MXHsdies9g,https://www.google.com/maps/place/?q=place_id:ChIJO7VAQgAzBjsR2MXHsdies9g,part_301,2026-09-20 20:16:38,532
Surya Restaurant,Dhaba and Highway Restaurant,Restaurant,Restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.7,,"HJ8V+5X9, Kollam - Theni Hwy, Pampady, Keralam 686502",686518,9.5654682,76.6450282,ChIJ5-iW_GozBjsRr6rnASds8Vc,https://www.google.com/maps/place/?q=place_id:ChIJ5-iW_GozBjsRr6rnASds8Vc,part_301,2026-09-20 20:16:38,533
Malabar Village Restaurant,Dhaba and Highway Restaurant,Restaurant,Restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62353 33374,https://malabarvillagerestaurantgroup.in/,4.5,,"opposite Purackal Honda Manipuzha, Manipuzha, Kodimatha, Kottayam, Muppaikad, Keralam 686013","Manipuzha, Kodimatha",9.5678313,76.5195391,ChIJgThfZvkrBjsRvBE_9r7WLJ8,https://www.google.com/maps/place/?q=place_id:ChIJgThfZvkrBjsRvBE_9r7WLJ8,part_301,2026-09-20 20:16:38,534
Bar-b-Que Inn Family Restaurant,Dhaba and Highway Restaurant,Barbecue restaurant,"Barbecue restaurant, Restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 80789 70770,N/A,3.9,,"Near Municipal stadium, Pala, Keralam 686575",686518,9.711333,76.6865018,ChIJ1X5UzJbNBzsRy3QkGypWv9k,https://www.google.com/maps/place/?q=place_id:ChIJ1X5UzJbNBzsRy3QkGypWv9k,part_301,2026-09-20 20:16:38,535
Wheels Restaurant,Dhaba and Highway Restaurant,Chinese restaurant,"Chinese restaurant, Fine dining restaurant, Restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,https://www.wheelsrestaurant.com/,4.1,,"Kottayam - Kumily Rd, Kanjikuzhi, Kottayam, Keralam 686004",Kanjikuzhi,9.588818,76.53817529999999,ChIJz6ta2IIrBjsRvQUIYc3xEMw,https://www.google.com/maps/place/?q=place_id:ChIJz6ta2IIrBjsRvQUIYc3xEMw,part_301,2026-09-20 20:16:38,536
Le Kitchen,Dhaba and Highway Restaurant,Restaurant,Restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62387 32820,https://lekitchen.in/,4.4,,"Mylady Rd, Nedumkunnam, Kottayam, Keralam 686542",686518,9.533860599999999,76.6642487,ChIJ9f23cRcxBjsRopJUch8FZao,https://www.google.com/maps/place/?q=place_id:ChIJ9f23cRcxBjsRopJUch8FZao,part_301,2026-09-20 20:16:38,537
Hotel Annapoorna,Dhaba and Highway Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94468 68686,https://www.hotelannapoornathellakom.com/,4.0,,"Kunnath Buildings, SH 1, Opposite Pushpagiri Church, Thellakom, Kottayam, Keralam 686630",Thellakom,9.6440369,76.5453751,ChIJGwyR-ajUBzsRdYkvnE_ci9o,https://www.google.com/maps/place/?q=place_id:ChIJGwyR-ajUBzsRdYkvnE_ci9o,part_301,2026-09-20 20:16:38,538
Hotel Somagiri,Dhaba and Highway Restaurant,Restaurant,Restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94956 65674,N/A,3.6,,"HP84+JCJ, Kodungoor, Vazhoor, Keralam 686504",Kodungoor,9.5665994,76.7060128,ChIJtwg4QMMzBjsRCLxfExGzrr8,https://www.google.com/maps/place/?q=place_id:ChIJtwg4QMMzBjsRCLxfExGzrr8,part_301,2026-09-20 20:16:38,539
The Outhouse Bistro (Hotel Aida),Dhaba and Highway Restaurant,Bistro,"Bistro, Pub, Restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 481 256 8390,http://www.hotelaida.in/,4.2,,"Hotel Aida, ida Junction, SH 1, Kodimatha, Kottayam, Keralam 686001",Kodimatha,9.5827589,76.52163449999999,ChIJ2y0a8S0rBjsRqqrxk6VP7_A,https://www.google.com/maps/place/?q=place_id:ChIJ2y0a8S0rBjsRqqrxk6VP7_A,part_301,2026-09-20 20:16:39,540
Astoria Annapoorna Restaurant,Dhaba and Highway Restaurant,Family restaurant,"Family restaurant, Breakfast restaurant, Chinese restaurant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.0,,"Parolickal Rd, Junction, Ettumanoor, Kottayam, Keralam 686562",Junction,9.659626099999999,76.54974469999999,ChIJf9GFMmDTBzsRcGDDBaoOZsU,https://www.google.com/maps/place/?q=place_id:ChIJf9GFMmDTBzsRcGDDBaoOZsU,part_301,2026-09-20 20:16:39,541
"HOTEL ALAKAPURI, KARUKACHAL",Dhaba and Highway Restaurant,Restaurant,Restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 88481 95725,https://nfc.dgtechsoln.com/alakapuri-restaurant/,4.1,,"GJ6Q+6C2, Changanassery - Vazhoor Rd, Koothrapally, Karukachal, Keralam 686540",Koothrapally,9.5120811,76.6383019,ChIJKw4zTIovBjsRkCngfQiHqUU,https://www.google.com/maps/place/?q=place_id:ChIJKw4zTIovBjsRkCngfQiHqUU,part_301,2026-09-20 20:16:39,542
