business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ravi store,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96337 07688,N/A,5.0,,"Bus Station, Manjadi Junction, Pallimukku Palakkulangara Rd, Oachira, Keralam 690547",690526,9.1194115,76.50670199999999,ChIJR-52ADMdBjsRNCilQSFNUpM,https://www.google.com/maps/place/?q=place_id:ChIJR-52ADMdBjsRNCilQSFNUpM,part_307,2026-09-20 20:16:35,269
Sulfi's Stores,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,3.7,,"4GM4+6JP, Oachira Ayiramthengu Rd, Oachira, Kerala 690526",690526,9.133087699999999,76.5065917,ChIJ6UVqC94cBjsRdHAaRQIEEkc,https://www.google.com/maps/place/?q=place_id:ChIJ6UVqC94cBjsRdHAaRQIEEkc,part_307,2026-09-20 20:16:35,270
M.S. General Store,General Store,General Store,General Store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,,,"4GM7+G76, Ochira Rd, Oachira, Keralam 690526",690526,9.1337782,76.51312949999999,ChIJDcU8R90cBjsR2_Vv3jEtE7I,https://www.google.com/maps/place/?q=place_id:ChIJDcU8R90cBjsR2_Vv3jEtE7I,part_307,2026-09-20 20:16:35,271
Chirackal Store,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 476 269 0334,N/A,,,"Market Road, Oachira, Keralam 690526",690526,9.134755799999999,76.5119603,ChIJO9aQcPQdBjsRhhzX8P-GD48,https://www.google.com/maps/place/?q=place_id:ChIJO9aQcPQdBjsRhhzX8P-GD48,part_307,2026-09-20 20:16:35,272
THAMARAYIL STORES,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94473 29365,N/A,4.3,,"Clappana, near Al Ameen Stores, Karunagappalli, Keralam 690525",690526,9.1150901,76.497045,ChIJLa7dalcdBjsRufyHvf8XLls,https://www.google.com/maps/place/?q=place_id:ChIJLa7dalcdBjsRufyHvf8XLls,part_307,2026-09-20 20:16:35,273
S & S STORES,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 86067 97121,N/A,4.9,22.0,"Manappally, Karunagappalli, Keralam 690574",690526,9.106461999999999,76.569121,ChIJ0Wif8GEFBjsRiddiQ3pcGy4,https://www.google.com/maps/place/?q=place_id:ChIJ0Wif8GEFBjsRiddiQ3pcGy4,part_307,2026-09-20 20:16:35,274
Chittoor Stores,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.2,22.0,"4GFX+RXV, Chittakkad Junction, Vallikunnam, Keralam 690501",690526,9.1246025,76.5499098,ChIJiwio7lcbBjsRs-0AsXqjxnQ,https://www.google.com/maps/place/?q=place_id:ChIJiwio7lcbBjsRs-0AsXqjxnQ,part_307,2026-09-20 20:16:35,275
SS DIGITAL HUB,General Store,Appliance store,Appliance store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 93879 88990,N/A,4.9,1046.0,"Hymam Building, opp. South Indian Bank, Oachira, Keralam 690526",690526,9.1320436,76.5136678,ChIJa105NS8dBjsReVxAn2Gmn_A,https://www.google.com/maps/place/?q=place_id:ChIJa105NS8dBjsReVxAn2Gmn_A,part_307,2026-09-20 20:16:35,276
Unni's Super Market,General Store,Grocery store,Grocery store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.5,225.0,"VHR9+WP3, Anchukallumoodu-Kaval Rd, Thangasherry East, Thangassery, Kollam, Keralam 691012","Thangasherry East, Thangassery",8.8922575,76.5693051,ChIJ-6s1fTj8BTsRAw_14pFOr9U,https://www.google.com/maps/place/?q=place_id:ChIJ-6s1fTj8BTsRAw_14pFOr9U,part_307,2026-09-20 20:16:35,277
G vittaldas & Merchants kayamkulam,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.9,11.0,"5GH2+3FF, Old Fish Market Rd, Kayamkulam, Keralam 690502",690526,9.177684,76.5011816,ChIJh46bRH8dBjsRLEjxqlvt340,https://www.google.com/maps/place/?q=place_id:ChIJh46bRH8dBjsRLEjxqlvt340,part_307,2026-09-20 20:16:35,278
Patanjali Mega Store,General Store,Ayurvedic clinic,"Ayurvedic clinic, Health food store, Herbal medicine store, Indian grocery store, Outlet mall",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94957 01556,https://patanjalistores.patanjaliayurved.org/patanjali-mega-store-ayurvedic-clinic-vavvakkavu-kollam-269210/Home?utm_source=locator&utm_medium=googleplaces,4.3,32.0,"No KSP 9/812, Manapally Road, Vavvakkavu, Kulasekharapuram, Keralam 690528",690526,9.1028036,76.529166,ChIJe6P7HkYDBjsR9NHBUtslHHU,https://www.google.com/maps/place/?q=place_id:ChIJe6P7HkYDBjsR9NHBUtslHHU,part_307,2026-09-20 20:16:35,279
Ikkade kada,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.0,6.0,"4GF3+XH7, Puthuppally, Oachira, Keralam 690547",690526,9.124918599999999,76.5039286,ChIJ1-SQti8dBjsR6B-N7wQzVPo,https://www.google.com/maps/place/?q=place_id:ChIJ1-SQti8dBjsR6B-N7wQzVPo,part_307,2026-09-20 20:16:35,280
N Sankunny & Sons,General Store,General store,General store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94473 27878,N/A,4.8,38.0,"3G4R+PGC, Karunagappalli, Keralam 690518",690526,9.0568878,76.5414523,ChIJ9-y9ok8DBjsRl9YzwPAints,https://www.google.com/maps/place/?q=place_id:ChIJ9-y9ok8DBjsRl9YzwPAints,part_307,2026-09-20 20:16:37,281
Arimulathu store,General Store,General store,General store,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,3.7,,"4FPR+6VF, Puthuppally, Keralam 690547",690527,9.1355737,76.49217449999999,ChIJwb3GSwAdBjsR3pXKDL5cwxw,https://www.google.com/maps/place/?q=place_id:ChIJwb3GSwAdBjsR3pXKDL5cwxw,part_307,2026-09-20 20:17:11,5476
Muthamma Stores,General Store,General store,General store,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 79026 46530,N/A,4.6,14.0,"7F24+XJM, Keralam 690532",690527,9.252465299999999,76.4565575,ChIJ_-TLf_IfBjsR9UGJe_Yj7nY,https://www.google.com/maps/place/?q=place_id:ChIJ_-TLf_IfBjsR9UGJe_Yj7nY,part_307,2026-09-20 20:17:11,5477
Jibin stores,General Store,General store,General store,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,5.0,1.0,"4HVC+M84, Oachira Thamarakulam Rd, Vallikunnam, Keralam 690501",690527,9.1441319,76.5707541,ChIJjWy4el4bBjsRiU4ySsr5G4I,https://www.google.com/maps/place/?q=place_id:ChIJjWy4el4bBjsRiU4ySsr5G4I,part_307,2026-09-20 20:17:11,5478
N R B Mini Supermarket,General Store,Grocery store,Grocery store,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 96059 99119,N/A,4.1,11.0,"5G56+VW5, Kallummoodu, Kayamkulam, Keralam 690502",Kallummoodu,9.1596396,76.51235439999999,ChIJ6R-zmCodBjsRYeXW2ITuCJ4,https://www.google.com/maps/place/?q=place_id:ChIJ6R-zmCodBjsRYeXW2ITuCJ4,part_307,2026-09-20 20:17:11,5479
Sobha traders,General Store,Grocery store,Grocery store,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 99950 57799,N/A,4.0,17.0,"Kuttippuram - Thazhava - Manappally Rd, Ambalapuzha, Keralam 688561",690527,9.3848188,76.3546918,ChIJ6858E3GbCDsRZPIah8ucSCI,https://www.google.com/maps/place/?q=place_id:ChIJ6858E3GbCDsRZPIah8ucSCI,part_307,2026-09-20 20:17:12,5480
