business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ram Spares Two Wheeler Spare Parts Shop,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 84479 07226,N/A,5.0,1.0,"4GG8+QP4, Oachira - Vayanakom Market Rd, Njakkanal, Oachira, Keralam 690526",Njakkanal,9.1268865,76.5168434,ChIJS8JSAMUcBjsR8ERhm07e7OQ,https://www.google.com/maps/place/?q=place_id:ChIJS8JSAMUcBjsR8ERhm07e7OQ,part_307,2026-09-20 20:16:46,2000
Abhilasham Auto Spare Parts and Services,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 73569 27295,N/A,5.0,59.0,"NO. 483 ABHILASHAM, Krishnapuram - Mavelikkara Rd, near KTDC BEAR PARLOUR, Menatheril, Kayamkulam, Kerala 690533",Menatheril,9.155949,76.518382,ChIJW1OqhGQdBjsRZVq6qTakpnk,https://www.google.com/maps/place/?q=place_id:ChIJW1OqhGQdBjsRZVq6qTakpnk,part_307,2026-09-20 20:16:46,2001
STAR AUTO SPARE PARTS,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,,,"4F9M+6G4, Oachira Ayiramthengu Rd, Ayiramthengu, Keralam 690547",Ayiramthengu,9.1180162,76.48381429999999,ChIJP__4oTYdBjsRa9RuSL6cdQY,https://www.google.com/maps/place/?q=place_id:ChIJP__4oTYdBjsRa9RuSL6cdQY,part_307,2026-09-20 20:16:46,2002
MANGALATH AUTOMOTIVES,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 88484 93969,N/A,5.0,1.0,"NH66, KALOOR junction, po, Oachira, Karunagappalli, Keralam 690526",po,9.1275325,76.5160406,ChIJmeT9QUYdBjsRgtGu6G6B25w,https://www.google.com/maps/place/?q=place_id:ChIJmeT9QUYdBjsRgtGu6G6B25w,part_307,2026-09-20 20:16:46,2003
"Sm crane spares, hydrolic seals",Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,http://www.smcranespares.com/,5.0,2.0,"P.O, Changankulangara, Vavvakkavu, Karunagappalli, Keralam 690528","P.O, Changankulangara",9.1070821,76.5198458,ChIJQwAey8YDBjsR0CbF2qQ5VzM,https://www.google.com/maps/place/?q=place_id:ChIJQwAey8YDBjsR0CbF2qQ5VzM,part_307,2026-09-20 20:16:46,2004
SK AUTOMOBILES,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.6,8.0,"Elasheril building, Pattathil kadavu clappana, Clappana, Kerala 690525",690526,9.114164299999999,76.4899451,ChIJt_BBgG8dBjsRZv6m4xvs7YY,https://www.google.com/maps/place/?q=place_id:ChIJt_BBgG8dBjsRZv6m4xvs7YY,part_307,2026-09-20 20:16:46,2005
Three Points Two Wheelers spare parts,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Car repair and maintenance service, Motorcycle parts store",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 95676 72562,N/A,,,"Alumpeedika - Vallikavu Rd, Oachira, Keralam 690547",690526,9.119792,76.4888697,ChIJWdK4k9QdBjsRiP3HSx4JUEw,https://www.google.com/maps/place/?q=place_id:ChIJWdK4k9QdBjsRiP3HSx4JUEw,part_307,2026-09-20 20:16:46,2006
Raveendra automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,1.0,"15, NH 66, Changankulangara, Keralam 690526",Changankulangara,9.1124415,76.5190688,ChIJO60gBgADBjsRYctmt6Oe3RM,https://www.google.com/maps/place/?q=place_id:ChIJO60gBgADBjsRYctmt6Oe3RM,part_307,2026-09-20 20:16:46,2007
New POPULAR AUTO STORES,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94971 48939,N/A,4.6,61.0,"Near, MSM College Rd, East of ONK, Signal Junction, Kayamkulam, Keralam 690502","East of ONK, Signal Junction",9.1763587,76.49527669999999,ChIJR3ZUkiEdBjsRH-JnV-UKjos,https://www.google.com/maps/place/?q=place_id:ChIJR3ZUkiEdBjsRH-JnV-UKjos,part_307,2026-09-20 20:16:46,2008
Second choice used spare parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,4.4,9.0,"5G7F+XHX, Pullikkanakku, Krishnapuram, Kayamkulam, Keralam 690537",Pullikkanakku,9.1650054,76.5239769,ChIJNxtBMVQdBjsRg7m96-xLLPw,https://www.google.com/maps/place/?q=place_id:ChIJNxtBMVQdBjsRg7m96-xLLPw,part_307,2026-09-20 20:16:46,2009
