business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
BEENA CASHEW COMPANY,Importers,Import export company,Import export company,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.5,6.0,"Kadampanad, Keralam 691553",689586,9.0831451,76.68220869999999,ChIJCcGXGKwPBjsRStm9-v415CI,https://www.google.com/maps/place/?q=place_id:ChIJCcGXGKwPBjsRStm9-v415CI,part_305,2026-09-20 20:17:12,4382
United Traders,Importers,Food products supplier,Food products supplier,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,5.0,,"7Q8Q+F2H, Pathanamthitta, Kerala 689645",689586,9.266196599999999,76.7876174,ChIJFai6EQ8VBjsRCZ-41iDdcfo,https://www.google.com/maps/place/?q=place_id:ChIJFai6EQ8VBjsRCZ-41iDdcfo,part_305,2026-09-20 20:17:13,4383
Sail Through,Importers,Import export company,Import export company,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 99951 61508,http://sailthrough.in/?utm_source=gmb&utm_medium=referral,,,"Kattode, Thiruvalla, Keralam 689105",Panthalam,9.3831341,76.5978129,ChIJNYWmM9qkjQ4RlAxIRJ_21lU,https://www.google.com/maps/place/?q=place_id:ChIJNYWmM9qkjQ4RlAxIRJ_21lU,part_305,2026-09-20 20:17:13,4384
KAKKANATTIL AGENCIES,Importers,Electrical appliance wholesaler,Electrical appliance wholesaler,689587,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Keezhvaipur SO, Padimon BO, Perumpramavu BO",N/A,N/A,3.3,3.0,"CMW4+JW8, Mallappally, Keralam 689585",689587,9.446499,76.6572886,ChIJ75Btel07BjsRK7If7oNIsQk,https://www.google.com/maps/place/?q=place_id:ChIJ75Btel07BjsRK7If7oNIsQk,part_305,2026-09-20 20:17:53,5653
Mallans Tea And Spices Distributors,Importers,Spice store,Spice store,689587,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Keezhvaipur SO, Padimon BO, Perumpramavu BO",N/A,https://m.facebook.com/mallansofficial/,5.0,,"Kottayam - Kozhenchery Rd, Keezhvaipur, Kerala 689587",689587,9.4305191,76.6726402,ChIJYVFevKc7BjsRGAfR-K4Lh3o,https://www.google.com/maps/place/?q=place_id:ChIJYVFevKc7BjsRGAfR-K4Lh3o,part_305,2026-09-20 20:17:54,5654
Bismi Cashew Company,Importers,Food Processing Company,"Food Processing Company, Food manufacturer, Food products supplier",689587,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Keezhvaipur SO, Padimon BO, Perumpramavu BO",+91 474 271 0966,https://bismicashewcompany.com/,4.4,,"Mangad P.O, Kilikolloor, Keralam 691015",Mangad,8.9095528,76.6197557,ChIJNUQh9SL9BTsRtLozv4fFPHY,https://www.google.com/maps/place/?q=place_id:ChIJNUQh9SL9BTsRtLozv4fFPHY,part_305,2026-09-20 20:17:55,5655
Indane - Kunnukandathil Gas Service,Importers,Gas Agency,"Gas Agency, Gas cylinders supplier, Gas shop, LPG conversion",689587,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Keezhvaipur SO, Padimon BO, Perumpramavu BO",+91 82817 70783,https://locator.iocl.com/indane/indane-kunnukandathil-gas-service-gas-agency-mallappally-pathanamthitta-209070/Home?utm_source=locator&utm_medium=googleplaces,3.5,,"Survey No, 312/2, Pulikuthi Pathic, near Eden Auditorium, Mallappally, Anicadu, Keralam 689585",689587,9.450588999999999,76.6659359,ChIJRRYcbZY6BjsRDrMW-z9e3Ck,https://www.google.com/maps/place/?q=place_id:ChIJRRYcbZY6BjsRDrMW-z9e3Ck,part_305,2026-09-20 20:17:55,5656
Olliv International,Importers,Import export company,"Import export company, Service establishment",689588,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Vaipur SO, Kulathur BO",+91 85903 02104,N/A,,,"Olliv International, 689588, India",689588,21.0680074,82.7525294,ChIJ5-qK5_zqM4gRFl-qQ-4Ke7o,https://www.google.com/maps/place/?q=place_id:ChIJ5-qK5_zqM4gRFl-qQ-4Ke7o,part_305,2026-09-20 20:18:39,6329
Vision distributors,Importers,Disposable tableware supplier,Disposable tableware supplier,689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",N/A,N/A,5.0,1.0,"Neelampara Road, Mallappally, Keralam 686540",689589,9.481323,76.6629317,ChIJi3APpuA7BjsRiUqpAz_WffY,https://www.google.com/maps/place/?q=place_id:ChIJi3APpuA7BjsRiUqpAz_WffY,part_305,2026-09-20 20:19:19,8311
Four Plus Distributors,Importers,Electrical appliance wholesaler,Electrical appliance wholesaler,689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",N/A,N/A,,,"FM67+2X3, Mallappally - Anikad Rd, Anicadu, Mallappally, Keralam 689585",689589,9.459926399999999,76.664946,ChIJ6ffiWAA7BjsRjpcX8A92QkA,https://www.google.com/maps/place/?q=place_id:ChIJ6ffiWAA7BjsRjpcX8A92QkA,part_305,2026-09-20 20:19:19,8312
