business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Magicpin Tattoo & Laser Removal Studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 85474 09047,N/A,4.4,,"7R74+RH5, Kumbazha, Mylapra, Pathanamthitta, Keralam 689653","Kumbazha, Mylapra",9.264510999999999,76.806494,ChIJU6m2E6kVBjsRJq9deSKlAtk,https://www.google.com/maps/place/?q=place_id:ChIJU6m2E6kVBjsRJq9deSKlAtk,part_305,2026-09-20 20:16:57,2696
Inkspired Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 92072 27274,N/A,4.8,,"Tiruvalla - Vennikulam - Thadiyoor - Ranni Rd, Vennikulam, Keralam 689544",689586,9.402425,76.66220899999999,ChIJETEXpD87BjsReXknFxq9u5o,https://www.google.com/maps/place/?q=place_id:ChIJETEXpD87BjsReXknFxq9u5o,part_305,2026-09-20 20:16:57,2697
Dare Devil tattoo studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 70127 02761,N/A,4.9,,"5P3M+FG4 daredevil tattoo studio, Parass La, Adoor, Keralam 691523",Parass La,9.153676899999999,76.733846,ChIJzbIz4XATBjsRVIvo_BtFvGw,https://www.google.com/maps/place/?q=place_id:ChIJzbIz4XATBjsRVIvo_BtFvGw,part_305,2026-09-20 20:16:57,2698
Tattoo Mashiyude lokam,Tattoo and Nail Art Studio,Tattoo artist,Tattoo artist,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 62829 58103,https://instagram.com/mashiyude_lokam_tattoo?igshid=MDM4ZDc5MmU=,4.9,,"Thiruvalla Bypass Rd, Thukalassery, Thiruvalla, Kerala 689101",Thukalassery,9.3707248,76.5739004,ChIJ57iiamclBjsRCh78j7vcMxY,https://www.google.com/maps/place/?q=place_id:ChIJ57iiamclBjsRCh78j7vcMxY,part_305,2026-09-20 20:16:57,2699
Tattoo Temple Trivandrum,Tattoo and Nail Art Studio,Tattoo and piercing shop,"Tattoo and piercing shop, Body piercing shop, Ear piercing service, Tattoo artist, Tattoo removal service, Tattoo shop",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 87144 66423,https://www.instagram.com/tattoo_temple_trivandrum/,4.9,1273.0,"Bypass, near UST Global, behind kunnil hyper market, Kulathoor, Thiruvananthapuram, Keralam 695583",Kulathoor,8.529643499999999,76.8861727,ChIJRfie1TW_BTsR_6qbWBeeQSw,https://www.google.com/maps/place/?q=place_id:ChIJRfie1TW_BTsR_6qbWBeeQSw,part_305,2026-09-20 20:16:57,2700
Amaze Makeup Lounge & Tattoo Studio Microblading&lip pigmentation,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Bridal shop, Make-up artist, Beauty Parlour",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 90723 96012,https://www.youtube.com/channel/UCek7xfFXUJfnyD6ls6KQYQA,4.5,174.0,"Therakathu Building, Opp. Ahalya Hospital, near Catholicate Junction, Pathanamthitta, Keralam 689645",Chittoor,9.268863,76.7710984,ChIJYapxKL4VBjsRGhCGEHdOx_A,https://www.google.com/maps/place/?q=place_id:ChIJYapxKL4VBjsRGhCGEHdOx_A,part_305,2026-09-20 20:16:57,2701
MagicPin Tattoo Studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 85474 09047,N/A,5.0,3.0,"7X29+PW7, Thekkuthode - Moorthimon Rd, Thekkuthode, Moorthimon, Keralam 689699",689586,9.2517785,76.9698011,ChIJy-Ry5HppBjsRqVBpfHOtiE8,https://www.google.com/maps/place/?q=place_id:ChIJy-Ry5HppBjsRqVBpfHOtiE8,part_305,2026-09-20 20:16:57,2702
Nails Art & Tattoo Studio,Tattoo and Nail Art Studio,Nail salon,Nail salon,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 98044 08913,N/A,4.6,163.0,"I/D-1, Narayantola East, Ashwini Nagar, Baguiati, Kolkata, West Bengal 700159","Narayantola East, Ashwini Nagar, Baguiati",22.6093738,88.430368,ChIJOQa6S4h1AjoR2pN-nZHpIJU,https://www.google.com/maps/place/?q=place_id:ChIJOQa6S4h1AjoR2pN-nZHpIJU,part_305,2026-09-20 20:16:58,2703
Artiste (Tattoo and Nail art studio),Tattoo and Nail Art Studio,Nail salon,"Nail salon, Eyebrow bar, Permanent make-up clinic, Tattoo shop",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 81971 75511,N/A,4.6,13.0,"394, 7th Cross Rd, BTM Layout 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076","BTM Layout 2nd Stage, BTM Layout",12.9135789,77.60708699999999,ChIJtRreloXvvmkRXPO5w6mQsBw,https://www.google.com/maps/place/?q=place_id:ChIJtRreloXvvmkRXPO5w6mQsBw,part_305,2026-09-20 20:16:58,2704
Scars tattoo Art [Subi Studio],Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 88484 85462,https://www.instagram.com/scars_tattoo_art?igsh=dzc5cGRqNzhoNGw3,5.0,437.0,"Thiruvalla, Manjadi, Keralam 689105",689589,9.3843559,76.5892769,ChIJC9PHaq8lBjsRGReM8NQfwjQ,https://www.google.com/maps/place/?q=place_id:ChIJC9PHaq8lBjsRGReM8NQfwjQ,part_305,2026-09-20 20:19:05,7405
