business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Padmavathi Gardens,Exhibitions,Garden,Garden,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 94959 64046,N/A,4.2,,"WQC6+7W, Veliyam, Kerala 691540",691540,8.9206644,76.76231109999999,ChIJq7wHkw3hBTsRTcIuDiH6MFA,https://www.google.com/maps/place/?q=place_id:ChIJq7wHkw3hBTsRTcIuDiH6MFA,part_309,2026-09-20 20:17:14,5075
Sreeramavilasom NSS Karayogamandiram,Exhibitions,Community center,Community center,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,,"WQC9+4GH, Veliyam, Keralam 691540",691540,8.920312,76.768846,ChIJY10QaQDhBTsRU35EaPrrlWE,https://www.google.com/maps/place/?q=place_id:ChIJY10QaQDhBTsRU35EaPrrlWE,part_309,2026-09-20 20:17:14,5076
Sree Narayana Auditorium,Exhibitions,Auditorium,Auditorium,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"WQ77+QW9, Veliyam, Kerala 691540",691540,8.9144052,76.76485389999999,ChIJ40g0xHfhBTsRG_jJBug-AF0,https://www.google.com/maps/place/?q=place_id:ChIJ40g0xHfhBTsRG_jJBug-AF0,part_309,2026-09-20 20:17:14,5077
Padmam Auditorium,Exhibitions,Auditorium,Auditorium,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"Anchumoorthi Temple, Padmavathy Garden, Veliyam, Kerala 691540",691540,8.9161545,76.766835,ChIJB38uuG_hBTsRnta-9zPK8Xk,https://www.google.com/maps/place/?q=place_id:ChIJB38uuG_hBTsRnta-9zPK8Xk,part_309,2026-09-20 20:17:14,5078
സഖാവ് വെളിയം ഭാർഗ്ഗവന്റെ വീട്,Exhibitions,Museum,Museum,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,3.0,"WQH4+QCX, Veliyam West, Keralam 691540",691540,8.929485999999999,76.7560951,ChIJHb5Zp57hBTsRlE_xugNLJpE,https://www.google.com/maps/place/?q=place_id:ChIJHb5Zp57hBTsRlE_xugNLJpE,part_309,2026-09-20 20:17:15,5079
Ashramam Ground,Exhibitions,Tourist attraction,"Tourist attraction, Fairground, Playground",691541,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Madathara SO, Kollayil BO, Venkolla BO",N/A,N/A,4.4,,"VHVV+M56, Asramam, Kollam, Keralam 691002",Asramam,8.8941597,76.5928921,ChIJbxgYb1b8BTsRwlWggY2kfe8,https://www.google.com/maps/place/?q=place_id:ChIJbxgYb1b8BTsRwlWggY2kfe8,part_309,2026-09-20 20:17:59,7190
We Park kollam,Exhibitions,Tourist attraction,Tourist attraction,691541,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Madathara SO, Kollayil BO, Venkolla BO",N/A,N/A,4.6,,"We park, SN College Junction, Karbala, Kollam, Keralam 691001",Karbala,8.8811784,76.5983353,ChIJf9agNwD9BTsR7YHoGT0nPmw,https://www.google.com/maps/place/?q=place_id:ChIJf9agNwD9BTsR7YHoGT0nPmw,part_309,2026-09-20 20:17:59,7191
Sigma Convention Centre,Exhibitions,Convention center,Convention center,691541,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Madathara SO, Kollayil BO, Venkolla BO",+91 80781 71717,N/A,4.3,,"14/535,Sigma Convention Centre,Alayamon, Po, Anchal, Keralam 691306",691541,8.9192447,76.916584,ChIJ0ye1BnrfBTsRMLDCWevxlQY,https://www.google.com/maps/place/?q=place_id:ChIJ0ye1BnrfBTsRMLDCWevxlQY,part_309,2026-09-20 20:17:59,7192
JAJIS Q CAFE EVENT HALL,Exhibitions,Auditorium,Auditorium,691541,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Madathara SO, Kollayil BO, Venkolla BO",+91 70346 26625,N/A,4.4,,"near Children’s Park, Asramam, Kollam, Keralam 691002",Asramam,8.8968885,76.5889983,ChIJK4r5e2v9BTsRciCnBESz4s8,https://www.google.com/maps/place/?q=place_id:ChIJK4r5e2v9BTsRciCnBESz4s8,part_309,2026-09-20 20:17:59,7193
"Adlux International Convention Centre, ANGAMALY",Exhibitions,Convention center,"Convention center, Concert hall, Exhibition and trade center, Wedding venue",691541,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Madathara SO, Kollayil BO, Venkolla BO",+91 484 261 2527,N/A,4.5,,"Angamaly, Cable Junction, Ernakulam District, National Highway 47, Karukutty, Keralam 683576",691541,10.235311,76.372737,ChIJ6Zgvyq0GCDsRBD-D55rFAlE,https://www.google.com/maps/place/?q=place_id:ChIJ6Zgvyq0GCDsRBD-D55rFAlE,part_309,2026-09-20 20:17:59,7194
