business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rajakumari Gold and Diamonds Pathanamthitta,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 90610 14444,http://rajakumarigold.com/,4.4,80.0,"7Q8Q+PFW, Pathanamthitta, Keralam 689645",689675,9.2668625,76.78870309999999,ChIJkxCkGgAVBjsRi4IF0y3M8Bk,https://www.google.com/maps/place/?q=place_id:ChIJkxCkGgAVBjsRi4IF0y3M8Bk,part_306,2026-09-20 20:16:41,1215
Arabian Gold & Diamonds,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry repair service",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 79026 13916,https://arabiangoldanddiamonds.in/,4.3,209.0,"T.K. ROAD, near ABAN JUNCTION, Pathanamthitta, Keralam 689645",689675,9.2648216,76.78971729999999,ChIJKZ6EjA8VBjsRJMw1ay7IMCs,https://www.google.com/maps/place/?q=place_id:ChIJKZ6EjA8VBjsRJMw1ay7IMCs,part_306,2026-09-20 20:16:41,1216
Pavithram Gold & Diamonds,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 82819 69832,https://pavithramjewellery.com/,4.9,1729.0,"5P3P+83X, Parass La, Adoor, Keralam 691523",Parass La,9.153332599999999,76.73506549999999,ChIJmZK-6jUTBjsRIcdiYTXl4ZY,https://www.google.com/maps/place/?q=place_id:ChIJmZK-6jUTBjsRIcdiYTXl4ZY,part_306,2026-09-20 20:16:41,1217
"Josco Jewellers, Pathanamthitta",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jewelry designer",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 468 222 6060,http://www.joscojewellers.in/,4.3,781.0,"SH7, Pathanamthitta, Keralam 689645",689675,9.2661606,76.7827804,ChIJkcXj8AgVBjsRD2c-ilTJLBY,https://www.google.com/maps/place/?q=place_id:ChIJkcXj8AgVBjsRD2c-ilTJLBY,part_306,2026-09-20 20:16:41,1218
Malabar Gold and Diamonds - Thiruvalla,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Mine, Watch store",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 469 274 0916,https://www.malabargoldanddiamonds.com/,4.7,1442.0,"Ramanchira, SH 1, Thiruvalla, Keralam 689101",Ramanchira,9.3905976,76.57325089999999,ChIJO0v_3gwkBjsRbQrKhdslpo4,https://www.google.com/maps/place/?q=place_id:ChIJO0v_3gwkBjsRbQrKhdslpo4,part_306,2026-09-20 20:16:41,1219
Mugal Gold & Diamonds,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 97780 07705,N/A,4.9,64.0,"Adoor Tower, Jn, near Gandhi park Central, Adoor, Keralam 691523",689675,9.1531263,76.73568329999999,ChIJNU4vluQTBjsRbrPgTQsDNfc,https://www.google.com/maps/place/?q=place_id:ChIJNU4vluQTBjsRbrPgTQsDNfc,part_306,2026-09-20 20:16:41,1220
Hamara Choice,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 98952 33697,http://www.hamarachoice.com/,4.9,3369.0,"Kaithavana Plaza, Adoor Byp Rd, Adoor, Keralam 691523",689675,9.1533628,76.72734009999999,ChIJ8x49UgARBjsRyzdFpvJ34lQ,https://www.google.com/maps/place/?q=place_id:ChIJ8x49UgARBjsRyzdFpvJ34lQ,part_306,2026-09-20 20:16:41,1221
Bhima Jewels,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 80860 88041,https://www.bhimajewels.com/,4.8,11612.0,"opposite PWD Rest House, Ramanchira, Thiruvalla, Keralam 689107",Ramanchira,9.3944865,76.5706794,ChIJh6yWinIkBjsRq-BVmnzNHTQ,https://www.google.com/maps/place/?q=place_id:ChIJh6yWinIkBjsRq-BVmnzNHTQ,part_306,2026-09-20 20:16:41,1222
Swarnamahal Jewellers Pathanamthitta,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 468 232 1767,N/A,5.0,,"Town, Pathanamthitta, Keralam 689645",Town,9.2647601,76.7873858,ChIJo38fZA8VBjsRTTAHQKYOANI,https://www.google.com/maps/place/?q=place_id:ChIJo38fZA8VBjsRTTAHQKYOANI,part_306,2026-09-20 20:16:42,1223
Malabar Gold and Diamonds - Adoor,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Watch store",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 4734 223 916,https://www.malabargoldanddiamonds.com/,4.5,1410.0,"Riches Jewel Arcade LLP, Door no : xx/725,726, Kayamkulam - Punalur Rd, near Vaidyans Tower, Kayamkulam, Adoor, Keralam 691523",Kayamkulam,9.1526306,76.7398204,ChIJ5TLowyUSBjsRo4ufQVwyTcE,https://www.google.com/maps/place/?q=place_id:ChIJ5TLowyUSBjsRo4ufQVwyTcE,part_306,2026-09-20 20:16:43,1224
