business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
PATHIPPALLIL GLASS & PLWOODS (PGP),Plywood and Timber Merchant,Plywood supplier,Plywood supplier,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 89218 71518,https://businessyourworld.com/listings/author/15204/274,4.9,,"Kuruvikkudu, g, V/1 A, kollamparambil,pala road, elaikulam,Kottayam, P.P ROAD, Paika, Keralam 686577",686518,9.6347934,76.7318353,ChIJqzSd6g4zBjsRvSA0LqahHB8,https://www.google.com/maps/place/?q=place_id:ChIJqzSd6g4zBjsRvSA0LqahHB8,part_301,2026-09-20 20:16:54,2786
EXFOREST DOORS,Plywood and Timber Merchant,Building materials store,Building materials store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 81379 73747,N/A,4.5,,"KK Arcade, Opp. St. Marcellinas School Madom Jn, SH Mount, Kottayam, Keralam 686006","Choottuveli, Kumaranalloor",9.6077575,76.5320423,ChIJe6d4U2krBjsR2vCw_UYcSvI,https://www.google.com/maps/place/?q=place_id:ChIJe6d4U2krBjsR2vCw_UYcSvI,part_301,2026-09-20 20:16:54,2787
Travancore Glass & Plywoods,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Architect, Glass & mirror shop, Interior designer, Landscape designer, Lock Store, Lumber store, Hardware store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 96054 43113,https://www.instagram.com/travancore.glass.and.plywoods/,4.7,,"Jacobs Complex, Kurishumoodu, Changanassery, Keralam 686104",Kurishumoodu,9.459033,76.554642,ChIJixcf0_glBjsR9Aw8UzcAcCY,https://www.google.com/maps/place/?q=place_id:ChIJixcf0_glBjsR9Aw8UzcAcCY,part_301,2026-09-20 20:16:54,2788
PARAYIL WOOD MALL,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94478 69038,N/A,4.8,,"kizhakkethil building, kurishupally aruthootty road, near asset homes, Kottayam, Keralam 686001",686518,9.5920077,76.5116993,ChIJ-7-H9sMrBjsR5X_ra6mQJOM,https://www.google.com/maps/place/?q=place_id:ChIJ-7-H9sMrBjsR5X_ra6mQJOM,part_301,2026-09-20 20:16:54,2789
TEJ WOODS,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Door shop, Interior Decorator",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 481 279 0022,N/A,4.8,,"101 Junction, MC Rd, opposite Emirates opticals, Kottayam, Keralam 686562",686518,9.6550903,76.5510419,ChIJKRihpV_TBzsR12-QwVyn--Q,https://www.google.com/maps/place/?q=place_id:ChIJKRihpV_TBzsR12-QwVyn--Q,part_301,2026-09-20 20:16:54,2790
Kerala Timbers,Plywood and Timber Merchant,Lumber store,Lumber store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94978 20177,N/A,5.0,,"Appanchira, Kaduthuruthy, Keralam 686604",Appanchira,9.7736875,76.4796875,ChIJS2GEKp_XBzsRN0OwEfbhU80,https://www.google.com/maps/place/?q=place_id:ChIJS2GEKp_XBzsRN0OwEfbhU80,part_301,2026-09-20 20:16:54,2791
Royal Traders,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94479 09318,https://www.greenply.com/store/greenply-plywood-royal-traders-best-plywood-shop-and-dealer-in-ranganatha-complex-hassan_797,4.4,,"Market Landing Rd, near Chathekadu Nissi Chambers TB, Eerayil Kadavu, Kottayam, Keralam 686001",Eerayil Kadavu,9.5825599,76.5239129,ChIJNdMhGNFCVBARZGO9X0G_Pf0,https://www.google.com/maps/place/?q=place_id:ChIJNdMhGNFCVBARZGO9X0G_Pf0,part_301,2026-09-20 20:16:54,2792
Dustan wood,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.3,,"Kurichy, Thuruthy, Keralam 686532",686518,9.4964442,76.5360637,ChIJn88MZgopBjsRtnDQEgjILoA,https://www.google.com/maps/place/?q=place_id:ChIJn88MZgopBjsRtnDQEgjILoA,part_301,2026-09-20 20:16:54,2793
Akhil Timbers,Plywood and Timber Merchant,Wood supplier,Wood supplier,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 98092 06924,N/A,4.5,,"SH 1, near Federal Bank, Neelimangalam, Kumaranalloor, Kottayam, Perumbaikad, Keralam 686016","Neelimangalam, Kumaranalloor",9.622259399999999,76.5367425,ChIJBenk4o9cVBAR_TtVyZIrJH0,https://www.google.com/maps/place/?q=place_id:ChIJBenk4o9cVBAR_TtVyZIrJH0,part_301,2026-09-20 20:16:54,2794
JTPLYMAN INDUSTRIES PVT LTD,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97465 68896,https://www.jtplymanindustries.com/,4.9,,"Perumbavoor, Keralam 683541",686518,10.1146301,76.4777526,ChIJD5ZFZ5PjBzsRRZvlcb7iWNs,https://www.google.com/maps/place/?q=place_id:ChIJD5ZFZ5PjBzsRRZvlcb7iWNs,part_301,2026-09-20 20:16:54,2795
NOH PLYWOODS AND BOARDS,Plywood and Timber Merchant,Manufacturer,Manufacturer,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.6,,"P O, Chundamala,West Vengola, Perumbavoor, Keralam 683556",686518,10.0860155,76.44886009999999,ChIJtRjtpdYJCDsRXJwQYqTUr2M,https://www.google.com/maps/place/?q=place_id:ChIJtRjtpdYJCDsRXJwQYqTUr2M,part_301,2026-09-20 20:16:54,2796
