business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
St. Mary's Interiors,Modular Kitchen Manufacturer,Interior designer,Interior designer,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94474 73007,http://stmarysinteriors.com/,4.3,62.0,"S. H. Mount P.O Nagampadom Temple Jn, behind Pittappillil Agencies, Kottayam, Keralam 686006",Nagampadam,9.6005975,76.5267653,ChIJ57hvwXIrBjsRowd5KThIqF4,https://www.google.com/maps/place/?q=place_id:ChIJ57hvwXIrBjsRowd5KThIqF4,part_301,2026-09-20 20:16:57,3273
LACOCINA INTERIORS,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Ceiling supplier",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 79070 36190,N/A,5.0,4.0,"Near Nagapadom Bridge, S.H Mount Pulikkal Trade Centre, Kottayam, Keralam 686006",Nagampadam,9.5989307,76.5284929,ChIJYajABnMrBjsRWxuF6tFq5pQ,https://www.google.com/maps/place/?q=place_id:ChIJYajABnMrBjsRWxuF6tFq5pQ,part_301,2026-09-20 20:16:57,3274
The Modular Factory,Modular Kitchen Manufacturer,Kitchen supply store,"Kitchen supply store, Interior Decorator, Interior designer, Kitchen furniture store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 81119 40009,https://themodularfactory.com/,5.0,219.0,"1st Floor, Sitara Trade Center, Seaport - Airport Rd, Irumpanam, Thrippunithura, Kochi, Ernakulam, Keralam 682309","Irumpanam, Thrippunithura",9.958806,76.3584724,ChIJ39pQB_ZyCDsRPHrHEup0Amk,https://www.google.com/maps/place/?q=place_id:ChIJ39pQB_ZyCDsRPHrHEup0Amk,part_301,2026-09-20 20:16:57,3275
Abhiman Interiors & Turnkey Contracts Pvt. Ltd,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Interior Decorator, Painter",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 95260 67770,http://www.abhimaninteriors.com/,4.2,64.0,"parolikal junction, p o, Athirampuzha, Ettumanoor, Keralam 686562",p o,9.659324999999999,76.5499196,ChIJ_7OB1GPTBzsR0grSF7mUorU,https://www.google.com/maps/place/?q=place_id:ChIJ_7OB1GPTBzsR0grSF7mUorU,part_301,2026-09-20 20:16:57,3276
"Pepperfry Home Furniture, Mattress & Home Decor Shop in Ponkunnam",Modular Kitchen Manufacturer,Furniture store,"Furniture store, Bed shop, Bedroom furniture store, Furniture accessories, Furniture wholesaler, Garden Furniture Store, Home improvement store, Mattress store, Office furniture store, Sofa store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 80 3750 0083,https://www.pepperfry.com/stores/city/furniture-store-in-kottayam.html,4.8,92.0,"Punnaparampil Estate Building Kottayam Kumily Road, Ponkunnam, near Santhinikethan Hospital, Kottayam, Keralam 686506",686518,9.564771,76.76619099999999,ChIJw_hAAYE1BjsRlOX10QoQF-U,https://www.google.com/maps/place/?q=place_id:ChIJw_hAAYE1BjsRlOX10QoQF-U,part_301,2026-09-20 20:16:57,3277
Ideal Home Galleria,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Shopping mall",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94472 58000,http://www.idealhomegalleria.com/,4.8,196.0,"Kanjiramattom Bye Pass, Mangattukavala, Thodupuzha, Keralam 685584",Mangattukavala,9.8980523,76.72344489999999,ChIJuT0I5wXEBzsRq9V0R8d66y0,https://www.google.com/maps/place/?q=place_id:ChIJuT0I5wXEBzsRq9V0R8d66y0,part_301,2026-09-20 20:16:57,3278
REDME INTERIO,Modular Kitchen Manufacturer,Kitchen remodeler,"Kitchen remodeler, Carpenter, Countertop store, Home builder, Home improvement store, Home theater store, Interior architect office, Interior construction contractor, Interior Decorator, Interior designer",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99524 30242,https://redmeinterio.in/,4.8,1284.0,"Sri Hari Building,197/339-1a,Eallai Thottam Road,, peelamedu, Coimbatore, Tamil Nadu 641004",VOC Colony,11.0303059,77.0065377,ChIJl___Pz9ZqDsRB8QFkWH6DqY,https://www.google.com/maps/place/?q=place_id:ChIJl___Pz9ZqDsRB8QFkWH6DqY,part_301,2026-09-20 20:16:57,3279
STARLyF,Modular Kitchen Manufacturer,Interior designer,Interior designer,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 98470 72756,http://starlyf.in/,4.1,14.0,"STARLyF OPPOSITE YMCA Buildings Building no 147 ,Ward 4, Kozhencherry, Kerala 689641",686518,9.3393448,76.71201599999999,ChIJcbklLWw9BjsR2GVp4sSwQj0,https://www.google.com/maps/place/?q=place_id:ChIJcbklLWw9BjsR2GVp4sSwQj0,part_301,2026-09-20 20:16:57,3280
JK HOME CENTER,Modular Kitchen Manufacturer,Furniture store,Furniture store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94471 63577,https://jkhomecenter.com/,3.9,47.0,"Kanjooparambil Complex, Changanassery - Vazhoor Rd, Keralam 686106",686518,9.4688401,76.56987199999999,ChIJaV7KyV0vBjsRA-qSPxxOzmM,https://www.google.com/maps/place/?q=place_id:ChIJaV7KyV0vBjsRA-qSPxxOzmM,part_301,2026-09-20 20:16:57,3281
KK Modular Kitchen,Modular Kitchen Manufacturer,Kitchen remodeler,"Kitchen remodeler, Kitchen furniture store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99208 73515,https://kkmodularkitchen.com/,4.9,,"Municipal Building, Shop no.11, G South Building, Orbit Grand dhanmill naka, N.M. Joshi marg, Fitwala Rd, opp. G - ward, West, Mumbai, Maharashtra 400013","Saidham Nagar, West",19.0082988,72.83097819999999,ChIJ___Pp-vO5zsRfzcoOma_10s,https://www.google.com/maps/place/?q=place_id:ChIJ___Pp-vO5zsRfzcoOma_10s,part_301,2026-09-20 20:16:58,3282
Makkana Modular Kitchen & Interior,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture accessories, Interior architect office, Interior designer, Kitchen remodeler",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 95948 02037,https://makkana.com/,4.7,,"Shop No.4, Plot No 47, Sector 15, Kharghar, Panvel, Maharashtra 410210","Sector 15, Kharghar",19.043117,73.07795039999999,ChIJp-QV8Qq95zsRSBNiEVZBzF4,https://www.google.com/maps/place/?q=place_id:ChIJp-QV8Qq95zsRSBNiEVZBzF4,part_301,2026-09-20 20:16:58,3283
Grace Modular Kitchen,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Kitchen supply store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99224 43900,http://www.gracemodularkitchen.com/,4.7,,"Shop No. 108, Rainbow Plaza, Shivar Chowk, Queens Park, Dwarkadheesh Gardens, Pimple Saudagar, Pune, Pimpri-Chinchwad, Maharashtra 411017","Queens Park, Dwarkadheesh Gardens, Pimple Saudagar",18.5961796,73.7885084,ChIJdbdZKBm5wjsRo8IdQmeqFpw,https://www.google.com/maps/place/?q=place_id:ChIJdbdZKBm5wjsRo8IdQmeqFpw,part_301,2026-09-20 20:16:58,3284
"𝐊𝐢𝐭𝐜𝐡𝐞𝐧 𝐒𝐭𝐮𝐝𝐢𝐨 - 𝐁𝐚𝐧𝐞𝐫 | Modular Kitchen in Baner | Modular Kitchen maker in Baner, Interior Designer Baner",Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97725 66720,http://www.kitchenstudiobaner.com/,5.0,,"Shop No 14, Shivam Complex, Sr. No. 78/5, Baner Rd, near Balewadi Phata, Lalit Estate, Baner, Pune, Maharashtra 411069","Lalit Estate, Baner",18.5625856,73.7835186,ChIJbdTeaq2_wjsRkM5qKvmByWg,https://www.google.com/maps/place/?q=place_id:ChIJbdTeaq2_wjsRkM5qKvmByWg,part_301,2026-09-20 20:16:58,3285
Space Kitchens,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Appliance store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94474 20845,https://www.spacekitchens.in/,5.0,22.0,"Ramapuram Junction, MC Rd, Koothattukulam, Keralam 686662",686518,9.8586549,76.594306,ChIJrZ1jYarbBzsRAP4V-_Ej4dQ,https://www.google.com/maps/place/?q=place_id:ChIJrZ1jYarbBzsRAP4V-_Ej4dQ,part_301,2026-09-20 20:16:59,3286
I4 Modulars,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Furniture Manufacturer",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 98854 44171,http://i4modulars.in/,4.5,61.0,"No. 678, Phase 1, IDA, Subhash Nagar, Jeedimetla, Hyderabad, Telangana 500055","Subhash Nagar, Jeedimetla",17.5124986,78.4607585,ChIJq6qq2huQyzsRF54Qp0-I0eU,https://www.google.com/maps/place/?q=place_id:ChIJq6qq2huQyzsRF54Qp0-I0eU,part_301,2026-09-20 20:16:59,3287
"Arrow Modular Kitchen Systems, Kaloor, Kochi",Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Appliance store, Cabinet maker, Countertop store, Furniture accessories, Furniture Manufacturer, Kitchen remodeler, Modular home builder, Modular home dealer",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 98461 23202,https://arrowmodularkitchen.com/,4.8,28.0,"No.10 , Kaloor Tower, near A J hall, Kaloor, Kochi, Keralam 682017",Kaloor,9.9933166,76.292283,ChIJ2RqmW0ANCDsRYaMWGR94WvE,https://www.google.com/maps/place/?q=place_id:ChIJ2RqmW0ANCDsRYaMWGR94WvE,part_301,2026-09-20 20:16:59,3288
Nicesys Aluminium Interiors,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Aluminium Supplier, Aluminum window, Furniture Manufacturer, Home builder, Interior designer, Interior construction contractor, Kitchen remodeler, Metal fabricator, Window supplier",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99465 61121,http://nicesys.co.in/,4.6,55.0,"Seaport - Airport Rd, vallathol jn, Judgemukku, Thrikkakara, Edappally, Kakkanad, Kochi, Keralam 682021","vallathol jn, Judgemukku, Thrikkakara, Edappally",10.0347349,76.3356639,ChIJFR6I7kMMCDsRfFWzn7pVczQ,https://www.google.com/maps/place/?q=place_id:ChIJFR6I7kMMCDsRfFWzn7pVczQ,part_301,2026-09-20 20:16:59,3289
M.M.KITCHEN EQUIPMENTS ( modular kitchen in Trichy ),Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Architectural designer, Interior designer, Kitchen remodeler",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,http://www.mmkitchenequipments.com/,4.4,54.0,"Ground Floor, No:43, Bharathidasan Salai, opp. American Hospital, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Cantonment,10.804699099999999,78.6862088,ChIJvby_55b1qjsRx4wxYbXhahc,https://www.google.com/maps/place/?q=place_id:ChIJvby_55b1qjsRx4wxYbXhahc,part_301,2026-09-20 20:16:59,3290
Bavanam aluminum furniture,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Aluminum window, Cabinet maker, Door shop, Kitchen remodeler, Window supplier",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 95393 99923,http://www.bavanam.com/,4.7,,"Pynadath arcade, Chambakkara, Upasana Nagar, Petta, Ernakulam, Keralam 682038","Chambakkara, Upasana Nagar, Petta",9.9538595,76.32855339999999,ChIJF9vlr4FzCDsRp-fUHBUgSs8,https://www.google.com/maps/place/?q=place_id:ChIJF9vlr4FzCDsRp-fUHBUgSs8,part_301,2026-09-20 20:16:59,3291
Angel interiors,Modular Kitchen Manufacturer,Home goods store,Home goods store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,3.5,,"Chooranolickal Arcade, Behind Pravithanam Kurisupally, Pravithanam Junction, Plassanal Pravithanam Rd, Pravithanam, SH 8, Pala-Thodupuzha Rd, Anthinad, PO, Keralam 686651",Anthinad,9.7452588,76.7026643,ChIJ6fkj8wfPBzsRty7zlF54A34,https://www.google.com/maps/place/?q=place_id:ChIJ6fkj8wfPBzsRty7zlF54A34,part_301,2026-09-20 20:16:59,3292
Heawens Interiors India Pvt Ltd,Modular Kitchen Manufacturer,Interior designer,Interior designer,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 80865 78607,http://www.heawens.com/,4.9,,"Pratheeksha Building, Kinfra Park, 3d, Koratty - Nalukettu Rd, Kinfra Koratty Industrial Area Phase I, RoadFloor, Koratty, Keralam 680309","Kinfra Koratty Industrial Area Phase I, RoadFloor",10.2705255,76.3571418,ChIJ_yyJbIsDCDsR-JdFyHKHOd4,https://www.google.com/maps/place/?q=place_id:ChIJ_yyJbIsDCDsR-JdFyHKHOd4,part_301,2026-09-20 20:16:59,3293
Sleek Kitchen Studio by Asian Paints,Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 73564 64695,https://evershineinterio.com/,4.7,61.0,"Evershine Enclave High Court, Junction, Banerji Rd, Ernakulam, Keralam 682031",Marine Drive,9.9845022,76.2749224,ChIJ-1kT82oNCDsRH5r_CFgtM60,https://www.google.com/maps/place/?q=place_id:ChIJ-1kT82oNCDsRH5r_CFgtM60,part_301,2026-09-20 20:17:40,6974
modular kitchen design,Modular Kitchen Manufacturer,Furniture maker,Furniture maker,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 96112 28931,https://modular-kitchen-design.grexa.site/,5.0,28.0,"47HM+M2M, Jorethang, Sikkim 734201",686519,27.128822399999997,88.28276,ChIJBxvTfQAp5DkR5Tow0lrpT2s,https://www.google.com/maps/place/?q=place_id:ChIJBxvTfQAp5DkR5Tow0lrpT2s,part_301,2026-09-20 20:17:41,6975
"Kara Modular Kitchen , Furniture & Interior's",Modular Kitchen Manufacturer,Furniture Manufacturer,Furniture Manufacturer,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 99221 11250,https://www.karamodularkitchen.com/,4.9,67.0,"Shop No. 12, Silver Central Central Mall, Chikhali, Moshi, Shiv Rasta, 411062, near CNG Pump, below Sky Deck Hotel, Jadhav Wadi, Moshi, Pimpri-Chinchwad, Maharashtra 411062","Shram Safaly Cooperate Society, Jadhav Wadi, Moshi",18.6679884,73.82904119999999,ChIJXasdKi-3wjsRSVbmk1ecSww,https://www.google.com/maps/place/?q=place_id:ChIJXasdKi-3wjsRSVbmk1ecSww,part_301,2026-09-20 20:17:41,6976
Keshar Modular Kitchen,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture maker, Furniture Manufacturer, Interior designer, Kitchen remodeler, Modular home dealer, Office furniture store, Sofa store",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 80 4803 2516,http://www.kesharmodularkitchenpune.co.in/,4.9,129.0,"shop no 9, Premanand park, near, Vitthal Rao Shivarkar Rd, Parmar Nagar, Wanowrie, Pune, Maharashtra 411040","Parmar Nagar, Wanowrie",18.499864799999997,73.9003812,ChIJvyj9_EPBwjsRAfZMdkASkPs,https://www.google.com/maps/place/?q=place_id:ChIJvyj9_EPBwjsRAfZMdkASkPs,part_301,2026-09-20 20:17:41,6977
Sun Modular Kitchen,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Bathroom remodeler, Children's furniture store, Furniture accessories, Furniture maker, Interior architect office, Interior Decorator, Interior designer, Kitchen remodeler, Modular home builder",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 80 4806 9057,https://www.sunmodularkitchen.in/,4.9,200.0,"Shop No. 1, Sr. No. 51/1/1, opposite to Pratibha Motors, Wakad, Pune, Maharashtra 411057","Swami Vivekanand Nagar, Wakad",18.6098176,73.7591383,ChIJ6-gA71m5wjsRtkYK2lDOCXg,https://www.google.com/maps/place/?q=place_id:ChIJ6-gA71m5wjsRtkYK2lDOCXg,part_301,2026-09-20 20:17:41,6978
Meine Bharat,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Appliance store, Fitted furniture supplier, Furniture accessories, Furniture Manufacturer, Kitchen remodeler, Kitchen supply store, Modular home builder",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 90110 10111,http://www.meinebharat.com/,4.7,622.0,"Icc Trade Tower, 15, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016","Laxmi Society, Model Colony, Shivajinagar",18.536274,73.8299516,ChIJ90O7eeq_wjsRj5VxteoLQ10,https://www.google.com/maps/place/?q=place_id:ChIJ90O7eeq_wjsRj5VxteoLQ10,part_301,2026-09-20 20:17:41,6979
Modular Kitchen Company,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Interior designer",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 70069 19737,https://www.modularkitchencompany.com/,5.0,15.0,"Ground Floor, #900, 28th Main Rd, near Karnataka Bank, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041","Corporation Colony, Jayanagara 9th Block, Jayanagar",12.9196574,77.5953449,ChIJIUOkFNMVrjsRb0o6zoRKKnQ,https://www.google.com/maps/place/?q=place_id:ChIJIUOkFNMVrjsRb0o6zoRKKnQ,part_301,2026-09-20 20:17:41,6980
Valiyaveettil Furnishers P Ltd,Modular Kitchen Manufacturer,Furniture store,"Furniture store, Interior Decorator",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 95678 20027,N/A,3.5,119.0,"Valiyaveettil Mansion, SH 1, near Matha Hospital, Thellakom, Kottayam, Keralam 686630",Thellakom,9.650407,76.550218,ChIJHz3lv1jTBzsRXRA_BfeTNQc,https://www.google.com/maps/place/?q=place_id:ChIJHz3lv1jTBzsRXRA_BfeTNQc,part_301,2026-09-20 20:17:42,6981
Unique Kitchen Hardwares Ettumanoor,Modular Kitchen Manufacturer,Hardware store,Hardware store,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 62383 14475,https://uniquekitchenhardwares.in/,5.0,,"Punnathura, Jn, Vettimukal, Ettumanoor, Keralam 686631",Vettimukal,9.668861399999999,76.577586,ChIJyeVvvkzTBzsRoTocr2o3kf8,https://www.google.com/maps/place/?q=place_id:ChIJyeVvvkzTBzsRoTocr2o3kf8,part_301,2026-09-20 20:17:42,6982
