business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Nayana flour mill,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"WQ78+WJ2, Oyur-Kottarakara Road, Veliyam, Keralam 691540",691540,8.9147544,76.7665111,ChIJMUkRRwDhBTsRFrskEMUMqAo,https://www.google.com/maps/place/?q=place_id:ChIJMUkRRwDhBTsRFrskEMUMqAo,part_309,2026-09-20 20:16:32,224
Chavadiyil Flour,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,4.1,,"WQ56+2V2, Kollam-Ayoor Rd, Pooyappally, Keralam 691537",691540,8.9075468,76.76210999999999,ChIJq_iEFwDhBTsRnDd3CPuPjVI,https://www.google.com/maps/place/?q=place_id:ChIJq_iEFwDhBTsRnDd3CPuPjVI,part_309,2026-09-20 20:16:32,225
COSMOZ FLOUR MILL,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 96452 24910,N/A,5.0,,"WQV6+2V, Odanavattom, Keralam 691512",691540,8.942582699999999,76.7621916,ChIJMW8dNjnhBTsRmAq0F17lRlI,https://www.google.com/maps/place/?q=place_id:ChIJMW8dNjnhBTsRmAq0F17lRlI,part_309,2026-09-20 20:16:32,226
Padma foods and flour mill,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 96335 10674,N/A,4.5,,"Chunkathara Odanavattom PO, Keralam 691512",691540,8.949896899999999,76.7709378,ChIJXY8G1dfhBTsRAtlRXVqysVE,https://www.google.com/maps/place/?q=place_id:ChIJXY8G1dfhBTsRAtlRXVqysVE,part_309,2026-09-20 20:16:32,227
UdayaDeepam Flour Mill,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"WQR2+8R5, Veliyam West, Kerala 691540",691540,8.9407646,76.7520991,ChIJRWKKC9bhBTsR4vGnVM0s1TQ,https://www.google.com/maps/place/?q=place_id:ChIJRWKKC9bhBTsR4vGnVM0s1TQ,part_309,2026-09-20 20:16:32,228
Anand Flourmill,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 95444 62053,N/A,5.0,12.0,"Ammannada, Kollam, Keralam 691021",Ammannada,8.8914727,76.6126385,ChIJRQy8C-b8BTsRvZF6zl62320,https://www.google.com/maps/place/?q=place_id:ChIJRQy8C-b8BTsRvZF6zl62320,part_309,2026-09-20 20:16:33,229
Thripthi Flour Mill,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,2.0,"VPFM+PX2, Kummalloor, Adichanalloor, Keralam 691573",Kummalloor,8.874151099999999,76.7339581,ChIJFYGsewDhBTsRY2SDtbbOBWg,https://www.google.com/maps/place/?q=place_id:ChIJFYGsewDhBTsRY2SDtbbOBWg,part_309,2026-09-20 20:16:33,230
Gilgal Rice & Flour Mill,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 99474 02227,N/A,5.0,4.0,"Kollam, Keralam 691531",691540,8.9962241,76.7845634,ChIJi_MSnAELBjsRDOwbKhkchKI,https://www.google.com/maps/place/?q=place_id:ChIJi_MSnAELBjsRDOwbKhkchKI,part_309,2026-09-20 20:16:33,231
ARUN FLOUR MILL,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,4.2,15.0,"Kadappakada, nager-132ഉളിയക്കോവിൽ ഈസ്റ്റ്, Uliyakovil, Kollam, Keralam 691008","nager-132ഉളിയക്കോവിൽ ഈസ്റ്റ്, Uliyakovil",8.8975689,76.6045233,ChIJbdJy5fz8BTsRWRUjdWoFXAY,https://www.google.com/maps/place/?q=place_id:ChIJbdJy5fz8BTsRWRUjdWoFXAY,part_309,2026-09-20 20:16:33,232
Badari Rice Flour & Oil Mill,Flour Mill,Flour mill,Flour mill,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,1.0,"Badari mill Yeroor P O Yeroor, Anchal, Yeroor, Keralam 691312",691540,8.9364267,76.94834399999999,ChIJg2KngtXZBTsRxWEiZI8I_hw,https://www.google.com/maps/place/?q=place_id:ChIJg2KngtXZBTsRxWEiZI8I_hw,part_309,2026-09-20 20:16:33,233
