business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ro Water Purifier Service Kottayam - Emperor Aquatech,RO Water Purifier Sales and Service,Water purification company,Water purification company,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94478 54298,https://emperoraquatech.com/,5.0,5.0,"Jaihind Tower, Vaikom Rd, near old nice theatre, Thalayolaparambu, Keralam 686605",686603,9.7851416,76.4387862,ChIJ10N-Xxt5CDsRRkau3e-mhKQ,https://www.google.com/maps/place/?q=place_id:ChIJ10N-Xxt5CDsRRkau3e-mhKQ,part_302,2026-09-20 20:16:56,2597
Aquzon Solutions Pvt Ltd,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water softening equipment supplier, Water treatment supplier",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94966 92020,http://clearandpurewaters.com/,5.0,6.0,"NSS Karayogam Building, Junction, SH15, Manjoor, Keralam 686603",686603,9.7286342,76.5195169,ChIJRV-LzafXBzsRlh-n-nX7aXw,https://www.google.com/maps/place/?q=place_id:ChIJRV-LzafXBzsRlh-n-nX7aXw,part_302,2026-09-20 20:16:56,2598
DHARA WATER PURIFICATION SYSTEM,RO Water Purifier Sales and Service,Water purification company,Water purification company,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 90616 05443,https://businessyourworld.com/listings/author/16432/532,4.8,4.0,"Kottakkatil building’s, Post, near Subramanya swami Temple, Thiruvanchoor, Keralam 686019",Thiruvanchoor,9.6215304,76.57466889999999,ChIJAbFhM3gtBjsRbQbyTjCbo2g,https://www.google.com/maps/place/?q=place_id:ChIJAbFhM3gtBjsRbQbyTjCbo2g,part_302,2026-09-20 20:16:56,2599
Varuna Water Treatment Experts,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94470 16337,http://www.varunaaqua.com/,5.0,55.0,"JG34+VCG, Ilankavu Rd, Kummanam, Kottayam, Keralam 686027",Kummanam,9.6044971,76.5064563,ChIJqZbPbAArBjsRoNo9cOY_Mjc,https://www.google.com/maps/place/?q=place_id:ChIJqZbPbAArBjsRoNo9cOY_Mjc,part_302,2026-09-20 20:16:56,2600
All brands RO+UV water purifiers Repair & sales service centre Aquaguard Kent pureit All brands,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 98863 78965,N/A,4.9,94.0,"2, Nyanapahalli Main Rd, Nyanappana Halli, Arekere, post, Begur, Bengaluru, Karnataka 560114","Nyanappana Halli, Begur",12.879458399999999,77.61671199999999,ChIJ7Qwn96gVrjsRHVcvQTBrjE8,https://www.google.com/maps/place/?q=place_id:ChIJ7Qwn96gVrjsRHVcvQTBrjE8,part_302,2026-09-20 20:16:56,2601
Aquaguard water purifier service,RO Water Purifier Sales and Service,Water purification company,Water purification company,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 62354 85070,N/A,5.0,45.0,"Central Junction, Perunna, Changanassery, Keralam 686101",Perunna,9.4425378,76.5435636,ChIJpWWpSCInBjsRKv6lPefaKoo,https://www.google.com/maps/place/?q=place_id:ChIJpWWpSCInBjsRKv6lPefaKoo,part_302,2026-09-20 20:16:56,2602
DrAquaguard@kottayam,RO Water Purifier Sales and Service,Water purification company,Water purification company,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 92072 05490,http://www.eurekaforbes.com/,5.0,1.0,"p o, KVS MEDICALS Cheruvally, ponkunnam, Keralam 686004",Kollad,9.5619677,76.53997919999999,ChIJ1YKGNyIrBjsRyySWQV1SbKQ,https://www.google.com/maps/place/?q=place_id:ChIJ1YKGNyIrBjsRyySWQV1SbKQ,part_302,2026-09-20 20:16:56,2603
Base Chemicals & Equipment,RO Water Purifier Sales and Service,Water purification company,Water purification company,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94470 21464,N/A,5.0,1.0,"KCM Annex Buildings No XX/236A Thezhathangady, Post Office Rd, Uppootty Kavala, Kottayam, Keralam 686001",Uppootty Kavala,9.590990999999999,76.5212556,ChIJDbX5n5krBjsRtwpGURTxNx8,https://www.google.com/maps/place/?q=place_id:ChIJDbX5n5krBjsRtwpGURTxNx8,part_302,2026-09-20 20:16:56,2604
THEERTHAM,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Filtration plant, Solar Energy Company, Solar energy equipment supplier, Water Filter Supplier, Water treatment supplier, Water softening equipment supplier, Water treatment plant",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94002 41130,http://www.theertham.co.in/,3.8,18.0,"Kottayam - Kumarakom Rd, Chengalam, Chengalam South, Kottayam, Keralam 686022",Chengalam,9.5922588,76.45663859999999,ChIJm01G_IUqBjsRlvd9h9zMQyw,https://www.google.com/maps/place/?q=place_id:ChIJm01G_IUqBjsRlvd9h9zMQyw,part_302,2026-09-20 20:16:56,2605
FRESH AQUA RO WATER PURIFIER REPAIR SERVICE CENTER,RO Water Purifier Sales and Service,Water purification company,Water purification company,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 91466 44514,N/A,5.0,,"Pundlik Nagar Rd, Husain Colony, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431009","Husain Colony, Nyay Nagar",19.8659875,75.3586059,ChIJ-6n2G26j2zsRx6c9HlhNR8Q,https://www.google.com/maps/place/?q=place_id:ChIJ-6n2G26j2zsRx6c9HlhNR8Q,part_302,2026-09-20 20:16:56,2606
