business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Chef's Cake World,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Chocolate factory, Chocolate shop, Dry Fruit Store, Fondue restaurant, Pastry shop, Rice cake shop, Snack bar, Wedding bakery",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 80866 66207,http://www.chefscakeworld.com/,4.7,391.0,"Sree Narayana Building, Ulloor - Akkulam Rd, Ulloor, Thiruvananthapuram, Keralam 695011",Ulloor,8.5288744,76.92796229999999,ChIJnQojkPK5BTsRD1uW6vRgAS4,https://www.google.com/maps/place/?q=place_id:ChIJnQojkPK5BTsRD1uW6vRgAS4,part_310,2026-09-20 20:16:35,458
S R M BAKERY PEROORKADA,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 95444 00567,N/A,4.6,21.0,"SRM BAKERY, Satyan Nagar, Pappanamcode, Thiruvananthapuram, Keralam 695018","Satyan Nagar, Pappanamcode",8.4747495,76.9890223,ChIJtV8EJ_y7BTsR_uvEoY0bcCI,https://www.google.com/maps/place/?q=place_id:ChIJtV8EJ_y7BTsR_uvEoY0bcCI,part_310,2026-09-20 20:16:35,459
ABC Cakess,Bakery and Cake Shop,Cake shop,Cake shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70121 85848,N/A,4.8,445.0,"Karakkamandapam Junction , Near pappanamcode , Vellyani, junction, opposite Popular hyundai, New, Nemom, Thiruvananthapuram, Keralam 695020","Karakkamandapam, New, Sathya Nagar",8.4645793,76.9903372,ChIJb3i32UG7BTsRkYFQBAIb3Po,https://www.google.com/maps/place/?q=place_id:ChIJb3i32UG7BTsRkYFQBAIb3Po,part_310,2026-09-20 20:16:35,460
Cakes2home tvm,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 81369 32461,http://www.cakes2home.com/,4.9,85.0,"Vellayani jn, Thiruvananthapuram, Keralam 695020",695019,8.4557263,77.0003219,ChIJQWtyMs67BTsRMIA8IHVny2M,https://www.google.com/maps/place/?q=place_id:ChIJQWtyMs67BTsRMIA8IHVny2M,part_310,2026-09-20 20:16:35,461
Heaven's Cakes,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,https://www.facebook.com/bakeyparadise/,4.9,115.0,"River View Garden, MLA Rd, THIRUMALA, Kunnapuzha, Thiruvananthapuram, Kerala 695032","THIRUMALA, Kunnapuzha",8.4901909,77.0024231,ChIJBZ3GBZm7BTsRoT7Wid1Sa-A,https://www.google.com/maps/place/?q=place_id:ChIJBZ3GBZm7BTsRoT7Wid1Sa-A,part_310,2026-09-20 20:16:35,462
Kidhuzz Cake Home Trivandrum By Kavitha Deepu,Bakery and Cake Shop,Cake shop,Cake shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 62821 23258,N/A,5.0,82.0,"Kidhuzz Cake Home Kavitha Electricals, Vishnu Nagar, Pappanamcode, Thiruvananthapuram, Keralam 695018","Vishnu Nagar, Pappanamcode",8.469727299999999,76.9818404,ChIJpaGrpMK7BTsR6PTJL8IbZaU,https://www.google.com/maps/place/?q=place_id:ChIJpaGrpMK7BTsR6PTJL8IbZaU,part_310,2026-09-20 20:16:35,463
Cake World,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Fast food restaurant",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70254 78478,N/A,4.2,1154.0,"GX82+VHR, YMR Jct, Nanthancodu, Thiruvananthapuram, Keralam 695003",Nanthancodu,8.5184245,76.9512074,ChIJ9XboZuq7BTsR3PFPOAuy2AU,https://www.google.com/maps/place/?q=place_id:ChIJ9XboZuq7BTsR3PFPOAuy2AU,part_310,2026-09-20 20:16:35,464
Kairali CAKE FACTORY,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94466 46031,http://kairalicakefactory.com/,4.4,241.0,"cordova school, lane, Kumarichantha, Ambalathara, Thiruvananthapuram, Keralam 695026","Kumarichantha, Ambalathara",8.449812,76.9484011,ChIJ5aRqJuu7BTsRNXEV_WQRxX4,https://www.google.com/maps/place/?q=place_id:ChIJ5aRqJuu7BTsRNXEV_WQRxX4,part_310,2026-09-20 20:16:35,465
Cloud9 Cakes,Bakery and Cake Shop,Pastry shop,Pastry shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 89437 22301,N/A,4.6,22.0,"TC 49/1467,Winter Kripa residence association street number 4 Thrikkannapuram, Keralam 695019",695019,8.4716459,77.0003736,ChIJARFFcm27BTsRVPuz-wExHHs,https://www.google.com/maps/place/?q=place_id:ChIJARFFcm27BTsRVPuz-wExHHs,part_310,2026-09-20 20:16:35,466
"Ammus Bakery, Cafe & Resto",Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,N/A,4.7,9.0,"Industrial Estate, P.o, Pappanamcode, Thiruvananthapuram, Keralam 695019","P.o, Pappanamcode",8.4693072,76.992491,ChIJ4zTB2au7BTsRuzwhJ5PDw0Q,https://www.google.com/maps/place/?q=place_id:ChIJ4zTB2au7BTsRuzwhJ5PDw0Q,part_310,2026-09-20 20:16:35,467
