business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Grand Opticals,Optical Store and Eyewear,Optician,Optician,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 80751 11513,N/A,5.0,,"Mundakayam, Keralam 686513",686518,9.5380086,76.88504739999999,ChIJlXksJwRJBjsRiT-EFGCRKIY,https://www.google.com/maps/place/?q=place_id:ChIJlXksJwRJBjsRiT-EFGCRKIY,part_301,2026-09-20 20:16:45,1467
Thekkady Opticals – CSI Building Branch,Optical Store and Eyewear,Optician,Optician,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 83040 02527,https://thekkadyopticals.com/,4.9,,"Shop No. 2, CSI Buildings, Govt Hospital Rd, near CSI Parish Hall, Mundakayam, Kottayam, Keralam 686513",686518,9.5382156,76.8839696,ChIJJfEyFPVJBjsR_d96SH_J9II,https://www.google.com/maps/place/?q=place_id:ChIJJfEyFPVJBjsR_d96SH_J9II,part_301,2026-09-20 20:16:45,1468
Thekkady Opticals Erumely,Optical Store and Eyewear,Optician,Optician,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 83010 37144,https://thekkadyopticals.com/,5.0,,"Erumeli, Keralam 686509",686518,9.4819318,76.84992179999999,ChIJsRvl_itJBjsRp-Bwx8i4R18,https://www.google.com/maps/place/?q=place_id:ChIJsRvl_itJBjsRp-Bwx8i4R18,part_301,2026-09-20 20:16:45,1469
Edimannickal EDGE Opticals,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Glass repair service, Optical Wholesaler, Optometrist, Sunglasses store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 95393 36777,http://www.edgeopticals.com/,4.9,,"near HDFC Bank, opp. AKJM School, Kanjirappally, Keralam 686507",686518,9.5549657,76.7848791,ChIJ-eVnTZY3BjsRtZ6BHqrVmoo,https://www.google.com/maps/place/?q=place_id:ChIJ-eVnTZY3BjsRtZ6BHqrVmoo,part_301,2026-09-20 20:16:45,1470
Thekkady Opticals Mundakayam,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 80781 02527,https://thekkadyopticals.com/,4.9,,"Athiyalil Plaza, Kanjirapally, Mundakayam, Kottayam, Mundakayam, Keralam 686513","Kanjirapally, Mundakayam",9.5377669,76.8850724,ChIJgcZe8hJJBjsRSfwHORP7C6c,https://www.google.com/maps/place/?q=place_id:ChIJgcZe8hJJBjsRSfwHORP7C6c,part_301,2026-09-20 20:16:45,1471
Kannadikkada /കണ്ണാടിക്കട/optical shop,Optical Store and Eyewear,Optician,Optician,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,5.0,,"FRMW+JMJ, Erumeli, Keralam 686509",686518,9.4840806,76.8466431,ChIJgdiWRgBJBjsRA31wLKBMTNo,https://www.google.com/maps/place/?q=place_id:ChIJgdiWRgBJBjsRA31wLKBMTNo,part_301,2026-09-20 20:16:45,1472
Eye max opticals,Optical Store and Eyewear,Optician,Optician,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 92078 81832,N/A,5.0,,"Eye max opticals, near bsnl office, Mundakayam, Keralam 686513",686518,9.5371533,76.88667439999999,ChIJHxlMcEdJBjsRXKpN8zf5_pg,https://www.google.com/maps/place/?q=place_id:ChIJHxlMcEdJBjsRXKpN8zf5_pg,part_301,2026-09-20 20:16:45,1473
Punnamparambil Eye Clinic & Opticals,Optical Store and Eyewear,Optician,"Optician, Eye care center, Sunglasses store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94969 71746,http://www.ppopticals.com/,4.8,,"NH 183, near Govt. Hospital, Kunnumbhagam, Kanjirappally, Keralam 686507",Kunnumbhagam,9.561293899999999,76.778306,ChIJs3yAsZI1BjsR8JL59LxyJo4,https://www.google.com/maps/place/?q=place_id:ChIJs3yAsZI1BjsR8JL59LxyJo4,part_301,2026-09-20 20:16:45,1474
Crystal Opticals,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 4828 223 590,N/A,4.8,,"HQ76+C8P, Ponkunnam, Keralam 686506",686518,9.5635953,76.7608372,ChIJfdzvviM0BjsRHPFjlAzLcSw,https://www.google.com/maps/place/?q=place_id:ChIJfdzvviM0BjsRHPFjlAzLcSw,part_301,2026-09-20 20:16:45,1475
Thekkady Opticals Ponkunnam,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Sunglasses store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 83308 18144,https://thekkadyopticals.com/,4.9,,"Ponkunnam, Kerala 686513",686518,9.5644375,76.7568125,ChIJe4K3fyI0BjsRsOoppgGZrP8,https://www.google.com/maps/place/?q=place_id:ChIJe4K3fyI0BjsRsOoppgGZrP8,part_301,2026-09-20 20:16:45,1476
