business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
EMPIRE CARS KOTTAYAM,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 88911 12682,N/A,4.8,,"Pattithanam, Ettumanoor, Keralam 686631",Pattithanam,9.6847517,76.5572389,ChIJT33LddwrBjsRPZ2xNHNrYo8,https://www.google.com/maps/place/?q=place_id:ChIJT33LddwrBjsRPZ2xNHNrYo8,part_302,2026-09-20 20:16:51,1856
Auto Spot Pre-Owned Cars Chengalam (MVD Authorised dealer),Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 99951 61971,N/A,4.6,,"Kottayam kumarakom Road Near petrol station, Usman kavala, Chengalam south, PO, Kottayam, Keralam 686022",Chengalam,9.5928706,76.462899,ChIJ32fTYX8rBjsRq0XT7JXXxLI,https://www.google.com/maps/place/?q=place_id:ChIJ32fTYX8rBjsRq0XT7JXXxLI,part_302,2026-09-20 20:16:51,1857
"Maruti Suzuki True Value (Popular Vehicles & Services, Kottayam, Chavittuvary)",Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 8071 650 320,https://www.truevalueofchavittuvary.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.4,,"SY.NO.142/10, SH Mount Rd, Choottuveli, Kumaranalloor, Perumbaikad, Kottayam, Keralam 686006","Choottuveli, Kumaranalloor",9.6086197,76.53265449999999,ChIJpY1LFWkrBjsRVV11aBKTFLw,https://www.google.com/maps/place/?q=place_id:ChIJpY1LFWkrBjsRVV11aBKTFLw,part_302,2026-09-20 20:16:51,1858
"Cars24 - Sell Used Cars in Kodimatha, Kottayam",Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Audi dealer, BMW dealer, Car dealer, Car finance and loan company, Honda dealer, Hyundai dealer, Kia dealer, Suzuki dealer, Toyota dealer",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 97116 97782,https://www.cars24.com/sell-marketing/?utm_source=gmb_sell_011&utm_medium=gmb_sell_02&utm_campaign=gmb_sell_03&utm_term=gmb_sell_04,4.5,,"Chirakadavil Estate, behind Manorama Printing Unit, Kodimatha, Kottayam, Muppaikad, Keralam 686013",Kodimatha,9.5686926,76.5173623,ChIJCzKcQdorBjsRqKaZbSN0nWU,https://www.google.com/maps/place/?q=place_id:ChIJCzKcQdorBjsRqKaZbSN0nWU,part_302,2026-09-20 20:16:51,1859
car&bike (By Mahindra First Choice) HORIZON MOTORS - KOTTAYAM,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Car dealer, Motor vehicle dealer, Vehicle inspection service",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 95138 82727,https://www.carandbike.com/used/car-dealers/horizon-motors-india-pvt-ltd-in-kottayam-4026/buy,4.7,,"Building No:33/634, SH 1, Ettumanoor, Keralam 686631",686603,9.664628,76.5534771,ChIJ3wmxslgrBjsR4jeJILXoMLw,https://www.google.com/maps/place/?q=place_id:ChIJ3wmxslgrBjsR4jeJILXoMLw,part_302,2026-09-20 20:16:51,1860
Fly Wheels Used car showroom,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 96054 80476,N/A,4.2,,"Thalayolaparambu, Kerala 686605",686603,9.7824375,76.45468749999999,ChIJi3GVw6l5CDsRDVu8pUVUntU,https://www.google.com/maps/place/?q=place_id:ChIJi3GVw6l5CDsRDVu8pUVUntU,part_302,2026-09-20 20:16:51,1861
CAR4U Pre Owned Cars,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 99465 55990,http://car4upreownedcars.in/,4.9,,"14/185A, Thundiyil Rd, COMPOUND, Erattupetta, Keralam 686122",COMPOUND,9.6786469,76.77892109999999,ChIJEUiaGADLBzsRtSuI3KLxTaM,https://www.google.com/maps/place/?q=place_id:ChIJEUiaGADLBzsRtSuI3KLxTaM,part_302,2026-09-20 20:16:51,1862
Angels Used Car,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94968 01091,N/A,3.8,,"MGP4+J7R, Kanakkary, Neendoor, Keralam 686632",686603,9.6866212,76.5056456,ChIJ7ayb_QrUBzsR1l-TtCxWlfw,https://www.google.com/maps/place/?q=place_id:ChIJ7ayb_QrUBzsR1l-TtCxWlfw,part_302,2026-09-20 20:16:51,1863
Chinnoos Cars,Car Showroom and Used Car Dealer,Car dealer,Car dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,3.5,,"192, SH32, Cherpunkal, Kerala 686572",686603,9.6884702,76.6305892,ChIJ77GxRXvSBzsRkS7QzUgOD4o,https://www.google.com/maps/place/?q=place_id:ChIJ77GxRXvSBzsRkS7QzUgOD4o,part_302,2026-09-20 20:16:51,1864
Nippon Toyota (Kottayam),Car Showroom and Used Car Dealer,Toyota dealer,Toyota dealer,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 484 717 0000,https://nippon-toyota.com/,4.2,,"Nattakom P.O, SH 1, Keralam 686013","Manipuzha, Moolavattom",9.565126,76.51694669999999,ChIJI2VpZQorBjsRDDyF6fvRUMw,https://www.google.com/maps/place/?q=place_id:ChIJI2VpZQorBjsRDDyF6fvRUMw,part_302,2026-09-20 20:16:51,1865
