business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
PTA Trades & Chemicals,Cleaning and Hotel Supplier shops/ wholesalers,Cleaning products supplier,Cleaning products supplier,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 99956 56078,N/A,5.0,,"Vazhamuttom East, Pathanamthitta, Keralam 689646",Vazhamuttom East,9.2245194,76.7932374,ChIJy3yu7EQVBjsRcHDFI9omBhI,https://www.google.com/maps/place/?q=place_id:ChIJy3yu7EQVBjsRcHDFI9omBhI,part_305,2026-09-20 20:17:01,3092
Matz Home Cleaning services,Cleaning and Hotel Supplier shops/ wholesalers,House cleaning service,House cleaning service,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 62828 83879,N/A,4.8,,"St.Peters junction, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.266545299999999,76.7776102,ChIJJcTyuvwVBjsRMGc7sJfZFU8,https://www.google.com/maps/place/?q=place_id:ChIJJcTyuvwVBjsRMGc7sJfZFU8,part_305,2026-09-20 20:17:01,3093
Clean Canvas,Cleaning and Hotel Supplier shops/ wholesalers,House cleaning service,House cleaning service,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 90747 66138,https://www.cleancanvas.in/,5.0,71.0,"St peter's Junction, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.269919999999999,76.7748766,ChIJXbVCRLcVBjsRU6cQIMscBSQ,https://www.google.com/maps/place/?q=place_id:ChIJXbVCRLcVBjsRU6cQIMscBSQ,part_305,2026-09-20 20:17:01,3094
Dreams Home Deep Cleaning,Cleaning and Hotel Supplier shops/ wholesalers,House cleaning service,"House cleaning service, Electrician, Floor refinishing service, Gardener, Cleaning Services, Painting, Plumber, Roofing contractor, Water Tank Cleaners, Welder",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 90378 77597,https://dreamshomedeepcleaning.online/,4.9,150.0,"Vellakulangara, NH 183A, Canan Nagar, Manakala, Keralam 691551",Canan Nagar,9.1364546,76.7285333,ChIJhb-1uVERBjsRboYWU94Qhew,https://www.google.com/maps/place/?q=place_id:ChIJhb-1uVERBjsRboYWU94Qhew,part_305,2026-09-20 20:17:01,3095
The London Wash,Cleaning and Hotel Supplier shops/ wholesalers,Laundry service,"Laundry service, Dry cleaner",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 85900 00868,https://www.thelondonwash.com/,4.9,55.0,"near Kerala PSC Office, Thazhe, Vettipuram, Pathanamthitta, Keralam 689645","Thazhe, Vettipuram",9.272948699999999,76.79011,ChIJnarrKrgVBjsROtqKroRscEg,https://www.google.com/maps/place/?q=place_id:ChIJnarrKrgVBjsROtqKroRscEg,part_305,2026-09-20 20:17:01,3096
Hey Genie home deep cleaning services,Cleaning and Hotel Supplier shops/ wholesalers,House cleaning service,"House cleaning service, Carpet cleaning service, Sanitation service, Water Tank Cleaners",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 79078 18121,http://www.hey-genie.com/,4.8,106.0,"Kuzhiyath house, PO, Kuttapuzha, Thiruvalla, Keralam 689103",PO,9.3901379,76.6060919,ChIJn_1Y7UIlBjsRbNQxfWDWpJA,https://www.google.com/maps/place/?q=place_id:ChIJn_1Y7UIlBjsRbNQxfWDWpJA,part_305,2026-09-20 20:17:01,3097
Lobo Dry Cleaning Centre,Cleaning and Hotel Supplier shops/ wholesalers,Laundry service,Laundry service,689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 96450 70363,N/A,4.4,11.0,"Near Marthoma Medical Mission Hospital, Angadi, Ranni, Keralam 689674",689589,9.3838694,76.7809563,ChIJ5540SdU4BjsRUOyFbMkQdG4,https://www.google.com/maps/place/?q=place_id:ChIJ5540SdU4BjsRUOyFbMkQdG4,part_305,2026-09-20 20:19:10,7596
Fabrico Laundry & Dry clean,Cleaning and Hotel Supplier shops/ wholesalers,Laundry service,Laundry service,689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 83308 89179,https://fabrico.in/,4.3,37.0,"Mathilunkal Tower, near Mar Thoma Residential School, Kuttapuzha, Thiruvalla, Keralam 689111",689589,9.3965625,76.57843749999999,ChIJRanY79clBjsRiLF5FY-YFoE,https://www.google.com/maps/place/?q=place_id:ChIJRanY79clBjsRiLF5FY-YFoE,part_305,2026-09-20 20:19:10,7597
Brothers Metal's & Plastics,Cleaning and Hotel Supplier shops/ wholesalers,Home goods store,"Home goods store, Aluminium Supplier, Appliance store, Gift shop, Mattress store, Metal supplier, Plastic Wholesaler, Restaurant supply store",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 80896 26734,N/A,4.7,168.0,"Mini Shopping Complex, Infopark Rd, Thrikkakara, Kakkanad, Kochi, Keralam 682030",Thrikkakara,10.017944,76.34615,ChIJj1zGIIoMCDsREZ9trY1R7hg,https://www.google.com/maps/place/?q=place_id:ChIJj1zGIIoMCDsREZ9trY1R7hg,part_305,2026-09-20 20:19:10,7598
Willy Marketing,Cleaning and Hotel Supplier shops/ wholesalers,Wholesaler,"Wholesaler, Furniture store, Furniture wholesaler, Glass shop, Glassware store, Glassware wholesaler, Plastic Wholesaler, Wholesale market, Plastic Products Supplier, Wholesaler household appliances",689589,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Punnavely SO, Nooromavu BO",+91 98462 81042,http://www.instagram.com/willymarketing,4.6,176.0,"Power House Rd, Power House Junction, Ayyappankavu, Ernakulam, Keralam 682018","Power House Junction, Ayyappankavu",9.991608099999999,76.2785928,ChIJL_cYRlwNCDsRvR93Z5cFico,https://www.google.com/maps/place/?q=place_id:ChIJL_cYRlwNCDsRvR93Z5cFico,part_305,2026-09-20 20:19:10,7599
