business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
JR Enterprises,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Appliance store, Cell phone accessory store, Electrical supply store, Electronic parts supplier",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 79026 37234,N/A,4.0,1.0,"Ushes Tower, Ittiyappara Bus Station Rd, Ranni, Keralam 689673",689675,9.387772499999999,76.78713929999999,ChIJ7zyUPAg5BjsRj6pIuO-q-Jw,https://www.google.com/maps/place/?q=place_id:ChIJ7zyUPAg5BjsRj6pIuO-q-Jw,part_306,2026-09-20 20:16:54,2711
Cee Pee Electricals,Electrical Goods and Lighting Store,Appliance store,Appliance store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 468 222 2118,N/A,4.7,6.0,"7Q7P+XFR, Press Club Road, Pathanamthitta, Kerala 689645",689675,9.2649762,76.7861473,ChIJ_wUsUA8VBjsRrolAqjIOFKs,https://www.google.com/maps/place/?q=place_id:ChIJ_wUsUA8VBjsRrolAqjIOFKs,part_306,2026-09-20 20:16:54,2712
S.S Light Mart,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical products wholesaler",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 96450 77800,N/A,4.4,25.0,"4PXJ+38H, link Rd - Adoor Bypass to Konnamankara Rd, Adoor, Keralam 691523",689675,9.1476787,76.7308639,ChIJx28Nk2URBjsR9lfzdomvODc,https://www.google.com/maps/place/?q=place_id:ChIJx28Nk2URBjsR9lfzdomvODc,part_306,2026-09-20 20:16:54,2713
Travencore Electricals and Plumbing,Electrical Goods and Lighting Store,Store,Store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 468 222 4113,N/A,4.0,25.0,"7Q8H+FPJ, Pathanamthitta, Keralam 689645",689675,9.266219399999999,76.7792754,ChIJA9ifhacVBjsRCK8DO3Z7MwA,https://www.google.com/maps/place/?q=place_id:ChIJA9ifhacVBjsRCK8DO3Z7MwA,part_306,2026-09-20 20:16:54,2714
A and A Electricals,Electrical Goods and Lighting Store,Electronics store,Electronics store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 96053 10779,N/A,4.7,15.0,"6VH2+27G, Konni, Keralam 689691",689675,9.227558799999999,76.8506925,ChIJ26130zVrBjsR_MCeN_eRqiQ,https://www.google.com/maps/place/?q=place_id:ChIJ26130zVrBjsR_MCeN_eRqiQ,part_306,2026-09-20 20:16:54,2715
Taurus Utilities,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Irrigation equipment supplier, Water Pump Supplier",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 85478 02868,N/A,4.7,33.0,"Kizhackedathu Grounds, Churulikkodu, Pathanamthitta, Keralam 689668",Churulikkodu,9.2768809,76.7596221,ChIJlQofVloVBjsRj3ZZoVKJVSQ,https://www.google.com/maps/place/?q=place_id:ChIJlQofVloVBjsRj3ZZoVKJVSQ,part_306,2026-09-20 20:16:54,2716
Sunrise Electricals,Electrical Goods and Lighting Store,Home goods store,Home goods store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 99464 14419,N/A,4.3,36.0,"6RRR+J68, Chittoor, jn, Konni, Keralam 689691",jn,9.2415482,76.8405903,ChIJW0mLTllrBjsR5s0Oqd8J2UQ,https://www.google.com/maps/place/?q=place_id:ChIJW0mLTllrBjsR5s0Oqd8J2UQ,part_306,2026-09-20 20:16:54,2717
The Karipallil Agencies,Electrical Goods and Lighting Store,Electronics store,Electronics store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94464 21583,N/A,4.5,21.0,"Kozhencherry, Keralam 689641",689675,9.337296,76.7065571,ChIJQ-bUhUM9BjsR56T1W_8OPCQ,https://www.google.com/maps/place/?q=place_id:ChIJQ-bUhUM9BjsR56T1W_8OPCQ,part_306,2026-09-20 20:16:54,2718
EVA ENTERPRISES,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 96564 99551,N/A,4.2,11.0,"Saint Peters Junction, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.2685855,76.7789573,ChIJoTWLS1YVBjsRKCyUruMgYMk,https://www.google.com/maps/place/?q=place_id:ChIJoTWLS1YVBjsRKCyUruMgYMk,part_306,2026-09-20 20:16:54,2719
Binu Electricals,Electrical Goods and Lighting Store,Electronics Accessories Wholesaler,"Electronics Accessories Wholesaler, Electronic parts supplier, Electronics wholesaler",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94466 00308,N/A,4.5,4.0,"Thottumadathil, opposite Panchayat Office, Kozhencherry, Keralam 689641",689675,9.3379719,76.7051177,ChIJRxW6Wsc9BjsR4VZmQitsEpM,https://www.google.com/maps/place/?q=place_id:ChIJRxW6Wsc9BjsR4VZmQitsEpM,part_306,2026-09-20 20:16:54,2720
