business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Athira Audio Pro,Tradeshows,Event management company,Event management company,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 95265 51632,https://www.instagram.com/athira.event?igsh=MXhweXRtdHZyeDZpcg==,,,"Prayar, Junction, Puthuppally, Keralam 690526",690526,9.133156699999999,76.4916693,ChIJrcZ8eOMdBjsR4OBJZweamfI,https://www.google.com/maps/place/?q=place_id:ChIJrcZ8eOMdBjsR4OBJZweamfI,part_307,2026-09-20 20:17:06,5000
Asian Convention Centre,Tradeshows,Convention center,Convention center,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,3.7,131.0,"4GG8+PGH, NH 66, opp. IOC Petrol Pump, Oachira, Kerala 690526",690526,9.126800099999999,76.5163474,ChIJK6gfA8UcBjsR4w3teUtGMVA,https://www.google.com/maps/place/?q=place_id:ChIJK6gfA8UcBjsR4w3teUtGMVA,part_307,2026-09-20 20:17:06,5001
CSI Convention Centre,Tradeshows,Convention center,Convention center,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 474 276 0166,http://www.csiconventioncentre.com/,4.0,,"Quilon Shenkotta Road, Near Craven LMS High School, Behind 2nd Terminal of Railway Station, Chinnakada, Kollam, Keralam 691001","Chamkkada, Chinnakada",8.887827699999999,76.5942121,ChIJvaoaZVj8BTsR_n02E2rV-f4,https://www.google.com/maps/place/?q=place_id:ChIJvaoaZVj8BTsR_n02E2rV-f4,part_307,2026-09-20 20:17:07,5002
Event flavours,Tradeshows,Event management company,"Event management company, Restaurant supply store",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 93834 88046,http://eventflavours.co.in/,5.0,,"KUTTIYIL MUKK, MADATHIL KARAZHMA P O, Karunagappally Circle, Thazhava, Keralam 690526",690526,9.1165401,76.5438361,ChIJ4-yz5xMdBjsRl8Rk7bzxflI,https://www.google.com/maps/place/?q=place_id:ChIJ4-yz5xMdBjsRl8Rk7bzxflI,part_307,2026-09-20 20:17:07,5003
"Smart Expos & Fairs India Pvt. Ltd.,",Tradeshows,Event management company,"Event management company, Association / Organization",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 72000 99049,https://www.smartexpos.in/,4.3,,"116, Manickam Ln, Guindy Institutional Area, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032","Guindy Institutional Area, SIDCO Industrial Estate, Guindy",13.0110041,80.21478139999999,ChIJ1RrsW2tnUjoRwEivMzjbPLc,https://www.google.com/maps/place/?q=place_id:ChIJ1RrsW2tnUjoRwEivMzjbPLc,part_307,2026-09-20 20:17:07,5004
"Adlux International Convention Centre, ANGAMALY",Tradeshows,Convention center,"Convention center, Concert hall, Exhibition and trade center, Wedding venue",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 484 261 2527,N/A,4.5,,"Angamaly, Cable Junction, Ernakulam District, National Highway 47, Karukutty, Keralam 683576",690526,10.235311,76.372737,ChIJ6Zgvyq0GCDsRBD-D55rFAlE,https://www.google.com/maps/place/?q=place_id:ChIJ6Zgvyq0GCDsRBD-D55rFAlE,part_307,2026-09-20 20:17:07,5005
Panthal decoration hire service,Tradeshows,Event management company,Event management company,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 97470 11515,https://wwe.horeowners.org/,5.0,,"Murukkummudu, Murukkummood South, Kayamkulam, Kerala 690502","Murukkummudu, Murukkummood South",9.1736481,76.52335649999999,ChIJZfH8LnwdBjsRABrewpfpLEk,https://www.google.com/maps/place/?q=place_id:ChIJZfH8LnwdBjsRABrewpfpLEk,part_307,2026-09-20 20:17:07,5006
"KINFRA International Exhibition cum Convention Centre, Kakkanad, Kochi",Tradeshows,Exhibition and trade center,Exhibition and trade center,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 80892 53369,https://kinfra.org/,4.5,503.0,"near, Infopark Expy, Kakkanad, Kochi, Keralam 682039",690527,10.0008619,76.3617587,ChIJIyfXcAANCDsR38vDXMONrlI,https://www.google.com/maps/place/?q=place_id:ChIJIyfXcAANCDsR38vDXMONrlI,part_307,2026-09-20 20:17:42,9261
ASH EVENTS AND CATERING,Tradeshows,Event management company,Event management company,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 73060 63753,N/A,,,"Ikya jn, Pulimukku, Pullukulangara, Kayamkulam, Keerikkad, Keralam 690502","Pulimukku, Pullukulangara",9.1763392,76.4802571,ChIJL8weruodBjsRQmuescwzkbA,https://www.google.com/maps/place/?q=place_id:ChIJL8weruodBjsRQmuescwzkbA,part_307,2026-09-20 20:17:42,9262
Evolve360Events,Tradeshows,Event planner,"Event planner, Service establishment",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 80752 62879,https://evolve360events.com/,5.0,,"Evolve360Events, 690527, India",690527,10.5442763,76.1383668,ChIJdXLroJHFYGEROKm8ytCH6Bo,https://www.google.com/maps/place/?q=place_id:ChIJdXLroJHFYGEROKm8ytCH6Bo,part_307,2026-09-20 20:17:42,9263
Dreamscape Events,Tradeshows,Event management company,Event management company,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,,,"Maniveli Kadavu, Kayamkulam, Kandalloor, Kerala 690535",Maniveli Kadavu,9.1427377,76.473017,ChIJEwCe25IdBjsR5MWvuZRkYZQ,https://www.google.com/maps/place/?q=place_id:ChIJEwCe25IdBjsR5MWvuZRkYZQ,part_307,2026-09-20 20:17:42,9264
Royal Events,Tradeshows,Event management company,Event management company,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 75111 90666,N/A,,,"Kayamkulam, Kandalloor, Kerala 690535",690527,9.1648792,76.47007099999999,ChIJv0Gi3UAdBjsR16B8M6sASp0,https://www.google.com/maps/place/?q=place_id:ChIJv0Gi3UAdBjsR16B8M6sASp0,part_307,2026-09-20 20:17:42,9265
Pavithram Convention Centre,Tradeshows,Convention center,Convention center,690528,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vavvakkavu SO, Varavila BO",+91 98478 53326,N/A,4.8,,"Pavithram Convention Centre, Kundara, Bharanikavu - Kollam Rd, PO, Mulavana, Kollam, 691503",PO,8.9802357,76.6776294,ChIJEyOft0kJBjsR5vMpOiStpIg,https://www.google.com/maps/place/?q=place_id:ChIJEyOft0kJBjsR5vMpOiStpIg,part_307,2026-09-20 20:18:20,10968
J's International Convention Centre,Tradeshows,Convention center,Convention center,690528,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vavvakkavu SO, Varavila BO",+91 95677 65059,http://jsconventioncentre.in/,4.9,19.0,"VQ33+5CF, Pallikkal Velinalloor Rd, Nadakkal, Kalluvathukkal, Keralam 691579",690528,8.8529375,76.7535625,ChIJGfINIQDnBTsRPEV7Dy_Ca7w,https://www.google.com/maps/place/?q=place_id:ChIJGfINIQDnBTsRPEV7Dy_Ca7w,part_307,2026-09-20 20:18:20,10969
Sana Auditorium,Tradeshows,Convention center,Convention center,690528,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vavvakkavu SO, Varavila BO",+91 93873 12516,N/A,3.8,1033.0,"Randamkutty, Kollam, Keralam 691004",Randamkutty,8.9064143,76.6231707,ChIJ06jEgCT9BTsRJjowf3fyHd8,https://www.google.com/maps/place/?q=place_id:ChIJ06jEgCT9BTsRJjowf3fyHd8,part_307,2026-09-20 20:18:20,10970
Festeve,Tradeshows,Event management company,"Event management company, Service establishment",690528,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vavvakkavu SO, Varavila BO",+91 79025 71526,https://lnk.ink/fest-eve,,,"Festeve, 690528, India",690528,9.0608598,76.5343788,ChIJ7cHzmaToLCIR2YDjltjQSdA,https://www.google.com/maps/place/?q=place_id:ChIJ7cHzmaToLCIR2YDjltjQSdA,part_307,2026-09-20 20:18:20,10971
Narthaka handicaft,Tradeshows,Event management company,Event management company,690528,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vavvakkavu SO, Varavila BO",N/A,N/A,,,"4G4C+773, Changankulangara, Kollam, Kerala 690528",Changankulangara,9.1056449,76.52066119999999,ChIJi5d7xewDBjsRnwUxel_A_Oc,https://www.google.com/maps/place/?q=place_id:ChIJi5d7xewDBjsRnwUxel_A_Oc,part_307,2026-09-20 20:18:20,10972
MERCHANT ASSOCIATION HALL,Tradeshows,Convention center,Convention center,690528,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Vavvakkavu SO, Varavila BO",N/A,N/A,4.0,1.0,"VM9C+78H, Kottiyam, Thazhuthala, Keralam 691571",690528,8.8681938,76.6708672,ChIJqR5stgLjBTsRWKZ4CzFKt6A,https://www.google.com/maps/place/?q=place_id:ChIJqR5stgLjBTsRWKZ4CzFKt6A,part_307,2026-09-20 20:18:20,10973
Lal Madathil Lights & Sounds,Tradeshows,Event management company,Event management company,690529,Kerala Circle,Kochi Region,Mavelikara Division,"Padanilam SO, Pattoor BO",+91 96057 00445,N/A,,,"Asharimukku, Charummoodu, Nooranad, Keralam 690505",Asharimukku,9.1622922,76.6123973,ChIJ8WhQnzcbBjsRrJf4SK4VmCM,https://www.google.com/maps/place/?q=place_id:ChIJ8WhQnzcbBjsRrJf4SK4VmCM,part_307,2026-09-20 20:18:55,13110
Chennai Trade Centre - Nandambakkam,Tradeshows,Exhibition and trade center,Exhibition and trade center,690530,Kerala Circle,Kochi Region,Mavelikara Division,Thamarakulam SO,+91 44 2231 6033,http://www.chennaitradecentre.org/,4.5,,"600089, 600089, Nandambakkam, Tamil Nadu 600089",Ramapuram,13.0147579,80.1909526,ChIJW32wXDRnUjoR31spLSFZZH0,https://www.google.com/maps/place/?q=place_id:ChIJW32wXDRnUjoR31spLSFZZH0,part_307,2026-09-20 20:19:31,14912
Trade Expo,Tradeshows,Exhibition planner,Exhibition planner,690530,Kerala Circle,Kochi Region,Mavelikara Division,Thamarakulam SO,N/A,N/A,,,"Kathrikadavu, Kaloor, Kochi, Ernakulam, Kerala 682025","Kathrikadavu, Kaloor",9.9921355,76.30190379999999,ChIJo-u2KHQNCDsRp78FCPkMrfA,https://www.google.com/maps/place/?q=place_id:ChIJo-u2KHQNCDsRp78FCPkMrfA,part_307,2026-09-20 20:19:31,14913
Sunil Lights & Sounds Pavumba,Tradeshows,Event management company,Event management company,690530,Kerala Circle,Kochi Region,Mavelikara Division,Thamarakulam SO,N/A,N/A,,,"Kaliyanchanda, Pavumba, Kerala 690574",690530,9.118316,76.5985725,ChIJV0TjdPQbBjsRJevNXL7sc2c,https://www.google.com/maps/place/?q=place_id:ChIJV0TjdPQbBjsRJevNXL7sc2c,part_307,2026-09-20 20:19:31,14914
