business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Leather land,Leather Goods and Bags,Leather goods store,"Leather goods store, Belt shop, Business to business service, Bag shop, Leather Goods Wholesaler, Manufacturer, Wholesaler",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 247 7565,N/A,4.2,,"Vrindavan Ln, Chalai, Thiruvananthapuram, Keralam 695036",Chalai,8.482054699999999,76.9489531,ChIJVVVVFae7BTsRHMZMZJFJ7Mo,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFae7BTsRHMZMZJFJ7Mo,part_310,2026-09-20 20:16:40,1284
G-LEATHERS,Leather Goods and Bags,Leather goods store,Leather goods store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 86066 06616,http://www.g-leathers.com/,4.9,,"Shop#F01 First Floor, Lulu Mall, Thiruvananthapuram, Keralam 695029",Kochuveli,8.5159395,76.8973864,ChIJg6nLijG9BTsRZl6LT9kih6Q,https://www.google.com/maps/place/?q=place_id:ChIJg6nLijG9BTsRZl6LT9kih6Q,part_310,2026-09-20 20:16:40,1285
Santhosh Leather Mart,Leather Goods and Bags,Shoe store,Shoe store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 230 4841,N/A,4.2,,"Tc13/480, Thampuranmukku, Thiruvananthapuram, Keralam 695035","Jai Vihar, Kunnukuzhy",8.5027452,76.9419678,ChIJ2RremKa7BTsRzHsuVtbDnls,https://www.google.com/maps/place/?q=place_id:ChIJ2RremKa7BTsRzHsuVtbDnls,part_310,2026-09-20 20:16:40,1286
Bags Look,Leather Goods and Bags,Bag shop,Bag shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 79070 26477,N/A,4.9,,"OPP: Louis philippe, Near Ringtone mobiles Pulimoodu Jn, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Pulimoodu",8.494118799999999,76.9479834,ChIJewhbW7u7BTsRk7E8aaK8tuc,https://www.google.com/maps/place/?q=place_id:ChIJewhbW7u7BTsRk7E8aaK8tuc,part_310,2026-09-20 20:16:40,1287
Bag World M.G.Road,Leather Goods and Bags,Bag shop,Bag shop,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 62822 66375,N/A,4.5,,"G.P.O, Mahatma Gandhi Rd, opp. Central Bank of India, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Pulimoodu",8.4943837,76.9480588,ChIJ2QsljB-7BTsRx5qiJmt3380,https://www.google.com/maps/place/?q=place_id:ChIJ2QsljB-7BTsRx5qiJmt3380,part_310,2026-09-20 20:16:40,1288
Sanchi Bags,Leather Goods and Bags,Bag shop,"Bag shop, Corporate office",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 99954 63481,http://www.sanchibags.com/,4.8,,"T.C 26/1340, opp. SP Grand Days, Panavila, Thycaud, Thiruvananthapuram, Keralam 695001","Panavila, Thycaud",8.495929499999999,76.9551317,ChIJiae-xzC6BTsRW3dasDCQvBE,https://www.google.com/maps/place/?q=place_id:ChIJiae-xzC6BTsRW3dasDCQvBE,part_310,2026-09-20 20:16:40,1289
K.M.S. Leather Works,Leather Goods and Bags,Leather repair service,Leather repair service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 93874 31546,N/A,4.2,,"Marappalam Junction, Pattom, Thiruvananthapuram, Keralam 695004",Pattom,8.519927599999999,76.94477309999999,ChIJtznin8S7BTsRnc9LZMSKmyM,https://www.google.com/maps/place/?q=place_id:ChIJtznin8S7BTsRnc9LZMSKmyM,part_310,2026-09-20 20:16:40,1290
Leather Palace,Leather Goods and Bags,Leather goods store,"Leather goods store, Bag shop, Shoe store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 95444 40001,N/A,4.4,,"SN Complex, Jn, Main Road, near Bus Stand, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.3995996,77.0875726,ChIJoa8esYmuBTsRSy-Wdd3RWLg,https://www.google.com/maps/place/?q=place_id:ChIJoa8esYmuBTsRSy-Wdd3RWLg,part_310,2026-09-20 20:16:40,1291
Amina Agencies,Leather Goods and Bags,Manufacturer,"Manufacturer, Bag shop, School supply store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 99955 54164,N/A,4.4,28.0,"East Fort, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695036","East Fort, Chalai Bazaar, Chalai",8.4832363,76.94937279999999,ChIJ2zb5eqe7BTsRV2ZnBXtRi9w,https://www.google.com/maps/place/?q=place_id:ChIJ2zb5eqe7BTsRV2ZnBXtRi9w,part_310,2026-09-20 20:16:41,1292
Chellam Umbrella Mart,Leather Goods and Bags,Shopping mall,"Shopping mall, Bag shop, General store, Luggage store, Mattress store, Seasonal Goods Store",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 98471 01309,N/A,4.1,644.0,"Sree Renga Towers, Mahatma Gandhi Rd, Pazhavangadi, Thiruvananthapuram, Keralam 695036","Pazhavangadi, Chalai Bazaar, Chalai",8.4864763,76.94798,ChIJQcO6uKa7BTsRGilMrbOTnBk,https://www.google.com/maps/place/?q=place_id:ChIJQcO6uKa7BTsRGilMrbOTnBk,part_310,2026-09-20 20:17:26,6630
