business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
DRISHYA TOOLS,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,5.0,1.0,"Kalarcode, Mullathuvalappu, Alappuzha, Keralam 688002","Kalarcode, Mullathuvalappu",9.4757935,76.33752419999999,ChIJT0iwluOFCDsRlIheZi-NQnY,https://www.google.com/maps/place/?q=place_id:ChIJT0iwluOFCDsRlIheZi-NQnY,part_303,2026-09-20 20:16:50,2173
"S.M.Y Hardware, Tools & Marine Metals",Hardware Store,Hardware store,"Hardware store, Marine supply store",688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 94470 88788,http://www.smyhardware.com/,4.5,69.0,"Near Pazhavangadi, Church Road, Ward Rd, Mullakkal, Alappuzha, Keralam 688011",Mullakkal,9.4971143,76.3445407,ChIJeeScdoqECDsR9s_YsClmpqc,https://www.google.com/maps/place/?q=place_id:ChIJeeScdoqECDsR9s_YsClmpqc,part_303,2026-09-20 20:16:50,2174
M S Hardwares,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98098 87080,N/A,4.0,101.0,"F8WQ+GG3, SH40, Erezha, Mullakkal, Alappuzha, Keralam 688001","Erezha, Mullakkal",9.496257,76.33880839999999,ChIJS4hlZvWECDsRbDnLs-9s29g,https://www.google.com/maps/place/?q=place_id:ChIJS4hlZvWECDsRbDnLs-9s29g,part_303,2026-09-20 20:16:50,2175
Sukas hardware store,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98463 22256,N/A,4.8,20.0,"Chathanad Road, Thondankulangara, Thathampally, Alappuzha, Keralam 688006","Thondankulangara, Thathampally",9.5050549,76.33396619999999,ChIJFUyPpZ2FCDsR2Eu2XP8NhoU,https://www.google.com/maps/place/?q=place_id:ChIJFUyPpZ2FCDsR2Eu2XP8NhoU,part_303,2026-09-20 20:16:50,2176
DREAM HOME,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 477 226 7500,http://www.dreamlinetrading.com/,4.1,11.0,"3, NH 66, Kalarcode, Pazhaveedu, Alappuzha, Keralam 688003","Kalarcode, Pazhaveedu",9.473814299999999,76.3379069,ChIJt6FhNMCECDsR-0itdjda0ck,https://www.google.com/maps/place/?q=place_id:ChIJt6FhNMCECDsR-0itdjda0ck,part_303,2026-09-20 20:16:50,2177
Vivek Hardwares,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 99957 42207,N/A,5.0,1.0,"South Pulayanvazhi Jn, Pulayanvazhi Rd, Alappuzha, Keralam 688002",Mullathuvalappu,9.4808012,76.3339775,ChIJk4mjHaKFCDsRbkLsES8mhPA,https://www.google.com/maps/place/?q=place_id:ChIJk4mjHaKFCDsRbkLsES8mhPA,part_303,2026-09-20 20:16:50,2178
ALIF HARDWARE & PAINTS,Hardware Store,Hardware store,"Hardware store, Cement Supplier, Countertop store, Paint store, Locks Supplier, Pipes Wholesaler, Plumber, Tool store, Water Pump Supplier",688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 94465 39054,N/A,5.0,1.0,"F8JP+HVH, Near 3, NH66, Thiruvambady, Pazhaveedu, Alappuzha, Keralam 688009","Thiruvambady, Pazhaveedu",9.481529799999999,76.3372509,ChIJK9MPZ-yECDsReaRVtreULFk,https://www.google.com/maps/place/?q=place_id:ChIJK9MPZ-yECDsReaRVtreULFk,part_303,2026-09-20 20:16:50,2179
AMBADI TRADERS അമ്പാടി ട്രെടേഴ്സ്,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 96562 77570,N/A,5.0,4.0,"NS Bose Rd, Kalarcode, Kaniyankulam, Pazhaveedu, Alappuzha, Keralam 688003","Kalarcode, Kaniyankulam, Pazhaveedu",9.4746695,76.34435529999999,ChIJsUkoQ5mFCDsRJuUYuhHqlKI,https://www.google.com/maps/place/?q=place_id:ChIJsUkoQ5mFCDsRJuUYuhHqlKI,part_303,2026-09-20 20:16:50,2180
Alif Hardwares & Paint Shop,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 94465 39054,N/A,4.4,43.0,"near Vazhicherry, Vazhicherry Ward, Junction, Alappuzha, Keralam 688001","Vazhicherry Ward, Junction",9.4980079,76.3331724,ChIJcbkg95yFCDsRExqTYeUWblA,https://www.google.com/maps/place/?q=place_id:ChIJcbkg95yFCDsRExqTYeUWblA,part_303,2026-09-20 20:16:50,2181
JKB TOOLS,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98099 09004,N/A,5.0,4.0,"Iron Bulding, Iron Bridge Road, Erezha, Sea View Ward, Alappuzha, Keralam 688001","Erezha, Sea View Ward",9.4962131,76.33882,ChIJuSXpeTuFCDsRYnTW6745x1A,https://www.google.com/maps/place/?q=place_id:ChIJuSXpeTuFCDsRYnTW6745x1A,part_303,2026-09-20 20:16:50,2182
SS Hardwares,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 75290 20556,N/A,,,"Ss Hardwares, Palace, Ward Rd, near Kottarappalam, Chungam, Alappuzha, Keralam 688011",Chungam,9.4921369,76.3435155,ChIJmYwqETuFCDsR7xJ3A4vPMsc,https://www.google.com/maps/place/?q=place_id:ChIJmYwqETuFCDsR7xJ3A4vPMsc,part_303,2026-09-20 20:16:50,2183
K S Traders,Hardware Store,Hardware store,Hardware store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 99614 68645,N/A,5.0,1.0,"F8MP+XX3, Valiyamaram Ward, Vellakkinar, Alappuzha, Keralam 688001","Valiyamaram Ward, Vellakkinar",9.4848971,76.3374144,ChIJw7OpQjuFCDsRvyvWne92ow8,https://www.google.com/maps/place/?q=place_id:ChIJw7OpQjuFCDsRvyvWne92ow8,part_303,2026-09-20 20:16:50,2184
