business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GLORYA COLLECTIONS,Trousseau Home Decor,Gift shop,"Gift shop, Shopping mall",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.9,81.0,"Bldg No.24, Marygiri Shopping Complex, 501-18, Thiruvalla, Keralam 689101",689675,9.3815461,76.5719771,ChIJTwe6lVQlBjsRG61ZCpIeuPU,https://www.google.com/maps/place/?q=place_id:ChIJTwe6lVQlBjsRG61ZCpIeuPU,part_306,2026-09-20 20:17:04,3851
THULASEEDHARAN NAIR ANGADI KADA,Trousseau Home Decor,Store,Store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94479 70894,N/A,4.7,15.0,"3QQ3+P85, MANNADI ROAD EANATHU, Adoor, Keralam 691526",689675,9.0892708,76.7533438,ChIJyc0UR7YNBjsRhqkAcUtBRfs,https://www.google.com/maps/place/?q=place_id:ChIJyc0UR7YNBjsRhqkAcUtBRfs,part_306,2026-09-20 20:17:04,3852
Top Style Home Decor,Trousseau Home Decor,Curtain store,Curtain store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 98470 06710,https://topstylehomedecor.dialndial.com/,4.5,33.0,"Illathu building , opp. Nayanam theatre. Holly Angeles school road adoor Adoor. P. O, Adoor, Keralam 691523",Kannamkode,9.151345599999999,76.73523019999999,ChIJvcL2YdcTBjsRugLxM-2uQpE,https://www.google.com/maps/place/?q=place_id:ChIJvcL2YdcTBjsRugLxM-2uQpE,part_306,2026-09-20 20:17:05,3853
Celebraze Events Management | Wedding Planners & Decorations,Trousseau Home Decor,Event management company,"Event management company, Entertainment agency, Event planner, Wedding planner, Wedding service, Wedding venue",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 92073 74777,http://www.celebrazeevents.com/,4.9,244.0,"Kavumkal building, mezhuveli, Keralam 689507",689675,9.284818399999999,76.6882007,ChIJ_____3Y9BjsRJ3YZuB6jruw,https://www.google.com/maps/place/?q=place_id:ChIJ_____3Y9BjsRJ3YZuB6jruw,part_306,2026-09-20 20:17:05,3854
Royal Furnishers,Trousseau Home Decor,Furniture store,"Furniture store, Blinds shop, Furniture maker, Furniture wholesaler, Mattress store, Window treatment store",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 99479 67776,N/A,4.6,51.0,"Puthupallikunnam, Parayamkulam, Charummoodu, Nooranad, Keralam 690505","Puthupallikunnam, Parayamkulam",9.175713,76.6152788,ChIJvXFINEIaBjsRRqQgt_xX6GE,https://www.google.com/maps/place/?q=place_id:ChIJvXFINEIaBjsRRqQgt_xX6GE,part_306,2026-09-20 20:17:05,3855
KOCHUVEETTIL FURNISHING,Trousseau Home Decor,Market,"Market, Furniture store",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 89437 24410,N/A,5.0,2.0,"1,thoovonumalayil Building Kozhenchrry Town Post Office Kozhenchrry, Pathanamthitta, Keralam 689641",689675,9.334864399999999,76.7090978,ChIJI-A5qQo9BjsR7cqmOuRVaw0,https://www.google.com/maps/place/?q=place_id:ChIJI-A5qQo9BjsR7cqmOuRVaw0,part_306,2026-09-20 20:17:05,3856
Annapoorni Brass House,Trousseau Home Decor,Gift shop,Gift shop,689676,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Makkapuzha SO, Ranny Edamon BO, Thombikandam BO",N/A,https://www.ayyanarmetals.com/,4.5,,"Temple Rd, near Children's Library, Thirunakara, Kottayam, Keralam 686001",Thirunakara,9.5902248,76.5161866,ChIJi37vhacrBjsRV5JuyLF7Dzc,https://www.google.com/maps/place/?q=place_id:ChIJi37vhacrBjsRV5JuyLF7Dzc,part_306,2026-09-20 20:17:52,6490
Soundharya Fancy,Trousseau Home Decor,Gift shop,Gift shop,689676,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Makkapuzha SO, Ranny Edamon BO, Thombikandam BO",+91 94478 01857,N/A,4.8,,"Kayamkulam - Pathanapuram Rd, Parass La, Adoor, Keralam 691523",Parass La,9.15692,76.7320627,ChIJe7frCocRBjsRKvObSDJUsGQ,https://www.google.com/maps/place/?q=place_id:ChIJe7frCocRBjsRKvObSDJUsGQ,part_306,2026-09-20 20:17:53,6491
IVORY EVENTS Wedding Planner/Event Management,Trousseau Home Decor,Wedding planner,"Wedding planner, Event management company",689677,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Chellakkad SO, Chethackal BO",+91 97451 34422,https://ivoryeventsweddings.com/,5.0,65.0,"Kozhencherry Church Rd, Kozhencherry, Keralam 689641",689677,9.337812099999999,76.7078593,ChIJDxzkxjs8BjsRcdWLm6GmUJg,https://www.google.com/maps/place/?q=place_id:ChIJDxzkxjs8BjsRcdWLm6GmUJg,part_306,2026-09-20 20:18:38,7215
Marit Decor,Trousseau Home Decor,Gift shop,Gift shop,689691,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Konny SO, Aruvappulam BO, Aryavon BO",N/A,https://www.maritdecor.com/,4.7,55.0,"83a, Girija Devi Marg, Block A, Kamla Nagar, Delhi, 110007","Block A, Kamla Nagar",28.681913899999998,77.2001834,ChIJj5o51Yj9DDkRug2yJ7tbhZ4,https://www.google.com/maps/place/?q=place_id:ChIJj5o51Yj9DDkRug2yJ7tbhZ4,part_306,2026-09-20 20:20:12,10006
