business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Soul cafe,Juice Center and Milkshake Bar,Restaurant,Restaurant,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 85907 01308,N/A,4.6,,"Kuzhikkalayil, Pathanamthitta, Keralam 689645",Kuzhikkalayil,9.2559737,76.7719505,ChIJy1Ut0e0VBjsRT2ZR7I-vd5s,https://www.google.com/maps/place/?q=place_id:ChIJy1Ut0e0VBjsRT2ZR7I-vd5s,part_306,2026-09-20 20:16:37,484
Zaboor Cafe Hub,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 80897 01012,N/A,4.4,,"Pathanamthitta Ring Rd, Melevettippuram, Pathanamthitta, Keralam 689645",Melevettippuram,9.2749241,76.7814025,ChIJY63lGeUVBjsRM012DzM0d0Q,https://www.google.com/maps/place/?q=place_id:ChIJY63lGeUVBjsRM012DzM0d0Q,part_306,2026-09-20 20:16:37,485
Juicy Thiruvalla,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 95678 01110,http://juicy.co.in/,4.2,,"opposite Maa hotels, Ramanchira, Thiruvalla, Keralam 689107",Ramanchira,9.395382,76.5699602,ChIJ5_gsIjElBjsRsgf0Cmo5LRQ,https://www.google.com/maps/place/?q=place_id:ChIJ5_gsIjElBjsRsgf0Cmo5LRQ,part_306,2026-09-20 20:16:37,486
"The JUICE BARREL Restocafe, Thiruvalla",Juice Center and Milkshake Bar,Ice cream shop,"Ice cream shop, Coffee shop, Coffee store, Restaurant, Juice shop, Pasta shop, Sandwich shop, Steak house",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 75939 38574,N/A,4.2,,"9HGG+8QJ Zeena complex, NH 183, Thukalassery, Thiruvalla, Keralam 689101",Thukalassery,9.3756723,76.5768555,ChIJmXQ3CIojBjsRwEept43nMvU,https://www.google.com/maps/place/?q=place_id:ChIJmXQ3CIojBjsRwEept43nMvU,part_306,2026-09-20 20:16:37,487
FRUITBAE,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 85906 19507,http://www.fruitbae.com/,4.3,,"Club 7 Ground floor, Thiruvalla, Keralam 689101",689675,9.3847135,76.57426679999999,ChIJVzvCOPYlBjsR0LVSBmxEFnE,https://www.google.com/maps/place/?q=place_id:ChIJVzvCOPYlBjsR0LVSBmxEFnE,part_306,2026-09-20 20:16:37,488
SALMA JUICE,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.1,,"SALMA JUICE, opp. KSRTC BUS STAND, Parass La, Adoor, Keralam 691523",Parass La,9.1538434,76.7333129,ChIJK3a7lkoRBjsR8Dw8QYW2lIg,https://www.google.com/maps/place/?q=place_id:ChIJK3a7lkoRBjsR8Dw8QYW2lIg,part_306,2026-09-20 20:16:37,489
Juice Bae,Juice Center and Milkshake Bar,Restaurant,"Restaurant, Cafe",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 82816 50729,https://www.instagram.com/juic_ebae?igsh=MXhhbm5oMjVsN3ZnbQ%3D%3D&utm_source=qr,4.8,,"6M8J+QC8 Juice Bae, Pandalam, Keralam 689501",689675,9.216916699999999,76.68103339999999,ChIJn-YWdq0XBjsR3wcbrzJhmCc,https://www.google.com/maps/place/?q=place_id:ChIJn-YWdq0XBjsR3wcbrzJhmCc,part_306,2026-09-20 20:16:37,490
Delhi Juice & Ice Cream Milk Shakes,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 90731 31252,N/A,4.3,,"Gate no-5, Quest Mall, 72, Beck Bagan Row, Park Circus, Ballygunge, Kolkata, West Bengal 700017","Park Circus, Ballygunge",22.5379027,88.3676203,ChIJUw7r1912AjoRpODjkMfEVQw,https://www.google.com/maps/place/?q=place_id:ChIJUw7r1912AjoRpODjkMfEVQw,part_306,2026-09-20 20:16:37,491
White Bakes & Juice bar,Juice Center and Milkshake Bar,Bakery and Cake Shop,Bakery and Cake Shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 98468 55777,https://www.instagram.com/white.bakes,4.6,,"Ezhamkulam Kaipattoor Rd, Kodumon - Parakode Rd, Kodumon, Keralam 691555",689675,9.186162,76.7711753,ChIJD18msnUTBjsRAQ6RcbRUgFk,https://www.google.com/maps/place/?q=place_id:ChIJD18msnUTBjsRAQ6RcbRUgFk,part_306,2026-09-20 20:16:37,492
Thadikkaran juice planet,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 95621 25515,N/A,4.7,,"Edavampoikayil Buliding, MC Rd, near Nayanam Theater, Kannamkode, Adoor, Kerala 691523",Kannamkode,9.1507353,76.7347064,ChIJwy9kB-ATBjsR_C8ejuxqlkU,https://www.google.com/maps/place/?q=place_id:ChIJwy9kB-ATBjsR_C8ejuxqlkU,part_306,2026-09-20 20:16:37,493
Bangalore Juicy and Foods adoor,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 95679 09766,N/A,4.2,,"Banglore juicy & foods, Kayamkulam - Pathanapuram Rd, near St mary’s scaning center, Adoor, Keralam 691523",689675,9.1577258,76.727752,ChIJ_55jlAERBjsRMgWLR8SYFtQ,https://www.google.com/maps/place/?q=place_id:ChIJ_55jlAERBjsRMgWLR8SYFtQ,part_306,2026-09-20 20:16:37,494
JUICELLA VALANJAVATTOM,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.8,,"Valanjavattom, PO, Thiruvalla, Kadapra, Keralam 689104",689675,9.3574776,76.5413853,ChIJrSLEeQAhBjsRbdAKHJPpfJg,https://www.google.com/maps/place/?q=place_id:ChIJrSLEeQAhBjsRbdAKHJPpfJg,part_306,2026-09-20 20:16:37,495
Skylight Cafe,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Bakery and Cake Shop, Coffee shop, Snack bar",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 99474 19698,https://www.instagram.com/skylight_cafe__?igsh=MWg2NnBjbDFnaXQ2aw==,4.7,,"Ezhamkulam, Adoor, Keralam 691554",689675,9.144924,76.7697472,ChIJH_QqcjgTBjsRFwqiXuvrT1A,https://www.google.com/maps/place/?q=place_id:ChIJH_QqcjgTBjsRFwqiXuvrT1A,part_306,2026-09-20 20:16:37,496
Gut Vibe Cafe,Juice Center and Milkshake Bar,Health food store,Health food store,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.6,,"7Q6J+XVW, Pathanamthitta, Keralam 689645",689675,9.2624809,76.7822101,ChIJm1lpegAVBjsR0qcXMFAjBRA,https://www.google.com/maps/place/?q=place_id:ChIJm1lpegAVBjsR0qcXMFAjBRA,part_306,2026-09-20 20:16:37,497
Zaheer Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 63040 81601,N/A,4.1,,"Chanchalguda Fateh khan bazar Hyderabad Biside, MBT Office Rd, Hyderabad, Telangana 500024",Chanchalguda,17.3667968,78.4941592,ChIJ09yA59WZyzsRz1qfewpy3_8,https://www.google.com/maps/place/?q=place_id:ChIJ09yA59WZyzsRz1qfewpy3_8,part_306,2026-09-20 20:16:37,498
Juice & Shake,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,5.0,,"Bhondsi, Haryana 122102",Bhondsi,28.351882699999997,77.0641864,ChIJp3e6DZkjDTkRAFh8iyIUvLI,https://www.google.com/maps/place/?q=place_id:ChIJp3e6DZkjDTkRAFh8iyIUvLI,part_306,2026-09-20 20:16:37,499
FRUITBAE | Adoor,Juice Center and Milkshake Bar,Juice shop,Juice shop,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94009 10920,http://www.fruitbae.com/,4.5,,"Athira Building, One-way Road, opposite Municipal Court, near 7days Marketing, Parass La, Adoor, Keralam 691523",Parass La,9.1576638,76.7315761,ChIJoaF7P8cRBjsR7r0ZEL7IxXk,https://www.google.com/maps/place/?q=place_id:ChIJoaF7P8cRBjsR7r0ZEL7IxXk,part_306,2026-09-20 20:16:37,500
Peni Ice Candy - Pathanamthitta,Juice Center and Milkshake Bar,Ice cream shop,"Ice cream shop, Chocolate cafe, Chocolate shop, Sweets and dessert buffet, Dessert restaurant, Dessert shop, Frozen dessert supplier, Frozen food store",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 75938 37379,https://www.peniicecandy.com/stores/kerala/pathanamthitta/,4.7,,"9/45, 7QCJ+823 Peni ice candy, 5, Anchakala, Circle, Pathanamthitta Ring Rd, P.O, Chittoor, Pathanamthitta, Keralam 689645","P.O, Chittoor",9.270738699999999,76.7800396,ChIJ0TreCQAVBjsRYrEtCHqf6zo,https://www.google.com/maps/place/?q=place_id:ChIJ0TreCQAVBjsRYrEtCHqf6zo,part_306,2026-09-20 20:16:37,501
