business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Valayanattu Auditorium വളയനാട്ട് ഓഡിറ്റോറിയം,Banquet Hall,Banquet hall,"Banquet hall, Auditorium",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94475 04930,N/A,4.0,,"9QMM+H77, Ranni, Pazhavangadi, Keralam 689673",689675,9.3839116,76.7831824,ChIJ7bw91tQ4BjsRJ5v8DJVunBs,https://www.google.com/maps/place/?q=place_id:ChIJ7bw91tQ4BjsRJ5v8DJVunBs,part_306,2026-09-20 20:17:02,3575
Christos Marthoma Parish Hall,Banquet Hall,Auditorium,Auditorium,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,3.8,,"9QRH+PPH, Ranni - Mallapally Rd, Nellickamon, Ranni, Angadi, Keralam 689674",Nellickamon,9.3918122,76.7793703,ChIJy-wVLCg5BjsRQgbSC5j6BBo,https://www.google.com/maps/place/?q=place_id:ChIJy-wVLCg5BjsRQgbSC5j6BBo,part_306,2026-09-20 20:17:02,3576
Loyal Auditorium Cherukole Kozhencherry,Banquet Hall,Auditorium,Auditorium,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 62355 37669,N/A,3.7,,"8PVM+943, Loyal Convention Centre , Near Kumbanad Jn ThiruvallaKumbanad Highway, Eraviperoor, Cherukole, Keralam 689542",689675,9.3433861,76.7327931,ChIJbfyXHCo8BjsRyZD_LHKpgXQ,https://www.google.com/maps/place/?q=place_id:ChIJbfyXHCo8BjsRyZD_LHKpgXQ,part_306,2026-09-20 20:17:02,3577
Ranni Gate,Banquet Hall,Hotel,Hotel,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 75580 87005,http://www.rannigate.in/,3.7,,"College Road, Ittiyapara, Ranni, Keralam 689673",689675,9.386206,76.788513,ChIJwVM4o9I4BjsRU-Bq4nkvmAs,https://www.google.com/maps/place/?q=place_id:ChIJwVM4o9I4BjsRU-Bq4nkvmAs,part_306,2026-09-20 20:17:02,3578
Maniyattu Auditorium,Banquet Hall,Auditorium,Auditorium,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 96057 38597,http://maniyattuauditorium.com/,4.4,,"Muttumon-Pullad, Thiruvalla, Keralam 689547",689675,9.3638716,76.6626205,ChIJx2iCrvk9BjsRDudAnFFEIaQ,https://www.google.com/maps/place/?q=place_id:ChIJx2iCrvk9BjsRDudAnFFEIaQ,part_306,2026-09-20 20:17:02,3579
Marthoma Auditorium,Banquet Hall,Auditorium,Auditorium,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.2,,"8PQ4+PQW, Kozhencherry Church Rd, Kozhencherry, Keralam 689641",689675,9.3393674,76.70696269999999,ChIJZ8dfBUs8BjsRdHBm7og7buk,https://www.google.com/maps/place/?q=place_id:ChIJZ8dfBUs8BjsRdHBm7og7buk,part_306,2026-09-20 20:17:02,3580
Celebrations Party Hall,Banquet Hall,Banquet hall,Banquet hall,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 90722 43155,https://www.facebook.com/share/jvaMkHZ5TrUCbsqN/,4.8,,"near Indian Bank, High School Junction, Adoor, Keralam 691523",689675,9.1597733,76.7182436,ChIJ39A-mmcRBjsRY0qhP7hl2Bs,https://www.google.com/maps/place/?q=place_id:ChIJ39A-mmcRBjsRY0qhP7hl2Bs,part_306,2026-09-20 20:17:02,3581
"Grand Hotel, Plachery, Ranni",Banquet Hall,Banquet Hall,Banquet Hall,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 85909 14905,N/A,2.4,,"Grand Hotel, Plachery Ranni Rd, near by Grand Thattukada, Keralam 689676",689675,9.4482863,76.7983285,ChIJ7YOkbwA5BjsR9WE1wTP6Oa0,https://www.google.com/maps/place/?q=place_id:ChIJ7YOkbwA5BjsR9WE1wTP6Oa0,part_306,2026-09-20 20:17:02,3582
Nanak Convention Centre,Banquet Hall,Convention center,Convention center,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 94957 57641,N/A,3.7,,"Nanak Convention Centre, SH 1, Pandalam, Keralam 689501",689675,9.226307,76.6782671,ChIJF-za9yIXBjsRiaRRbpwhsG4,https://www.google.com/maps/place/?q=place_id:ChIJF-za9yIXBjsRiaRRbpwhsG4,part_306,2026-09-20 20:17:02,3583
Clouds Home and Event Venue,Banquet Hall,Event venue,Event venue,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,4.5,,"pulimuk, Ranni, Angadi, Keralam 689674",pulimuk,9.3846112,76.7735797,ChIJO1xK_Uk5BjsRD3tNjgSodas,https://www.google.com/maps/place/?q=place_id:ChIJO1xK_Uk5BjsRD3tNjgSodas,part_306,2026-09-20 20:17:02,3584
