business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Lazza Ice Cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.2,,"Edakkunnam, Keralam 686512",686518,9.5458007,76.8429089,ChIJWYxNxQI1BjsRFaMNelWaHm0,https://www.google.com/maps/place/?q=place_id:ChIJWYxNxQI1BjsRFaMNelWaHm0,part_301,2026-09-20 20:16:41,817
Frootalooda,Ice Cream Parlour,Ice cream shop,Ice cream shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 70123 52067,N/A,4.4,,"Ground Floor, Loyola Arcade, Cathedral Junction - Eye Hospital Link Rd, Kokkappally, Kanjirappally, Keralam 686507",Kokkappally,9.5572745,76.789041,ChIJSQwHRwA3BjsRGUDmQQ4vlVI,https://www.google.com/maps/place/?q=place_id:ChIJSQwHRwA3BjsRGUDmQQ4vlVI,part_301,2026-09-20 20:16:41,818
SJ Distributors Camerry icecream,Ice Cream Parlour,Ice cream shop,Ice cream shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.6,,"Chirakkadavu, Keralam 686520",686518,9.530746599999999,76.7737504,ChIJWdF19TA3BjsR7BJkDbo4Q9Y,https://www.google.com/maps/place/?q=place_id:ChIJWdF19TA3BjsR7BJkDbo4Q9Y,part_301,2026-09-20 20:16:41,819
Jan cafe & Kitchen,Ice Cream Parlour,Juice shop,Juice shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,https://www.instagram.com/jancafe_?igsh=c215cWIxcHBlNWpz,4.8,,"HR87+M2H, Podimattom, Keralam 686518",686518,9.566604,76.8126039,ChIJz3_QCwA1BjsRCdlTR2Xv1mE,https://www.google.com/maps/place/?q=place_id:ChIJz3_QCwA1BjsRCdlTR2Xv1mE,part_301,2026-09-20 20:16:41,820
Payasam,Ice Cream Parlour,Ice cream shop,Ice cream shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.5,,"HV54+R2X, NH 183, Edakkunnam, Kerala 686512",686518,9.559616,76.855111,ChIJQzOuiIdJBjsRqAPEw5s8KFk,https://www.google.com/maps/place/?q=place_id:ChIJQzOuiIdJBjsRqAPEw5s8KFk,part_301,2026-09-20 20:16:41,821
Pick & Mix,Ice Cream Parlour,Ice cream shop,Ice cream shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94978 22489,https://pickandmix.dialndial.com/,4.3,,"HQ3P+QCQ, Kanjirappally, Keralam 686507",686518,9.554460899999999,76.7861224,ChIJwV2Z6us3BjsRmuRHdhBjK90,https://www.google.com/maps/place/?q=place_id:ChIJwV2Z6us3BjsRmuRHdhBjK90,part_301,2026-09-20 20:16:41,822
Ice Pole Mundakayam,Ice Cream Parlour,Ice cream shop,Ice cream shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94952 34158,N/A,4.7,,"Kootickal road, Mundakayam, Keralam 686513",686518,9.540038599999999,76.8844198,ChIJSaFK9h9JBjsRThxHmwRoosU,https://www.google.com/maps/place/?q=place_id:ChIJSaFK9h9JBjsRThxHmwRoosU,part_301,2026-09-20 20:16:41,823
Peni Ice Candy - Shastri Road,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Cafe, Chocolate cafe, Chocolate shop, Sweets and dessert buffet, Food court, Frozen dessert supplier, Dessert shop",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 87145 31999,https://www.peniicecandy.com/stores/kerala/shastri-road/,4.5,,"May Fair Building, Lal Bahadur Shastri Rd, Baker Hill, Kottayam, Keralam 686001",Baker Hill,9.5920844,76.524875,ChIJ86yBdgArBjsRUR5cN4ze-Y8,https://www.google.com/maps/place/?q=place_id:ChIJ86yBdgArBjsRUR5cN4ze-Y8,part_301,2026-09-20 20:16:41,824
Falooda Nation Kottayam,Ice Cream Parlour,Ice cream shop,Ice cream shop,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62822 50245,https://faloodanation.com/,4.7,,"Ottathyckal Building, near Kanjikuzhi, Kanjikuzhi, Kottayam, Keralam 686004",Kanjikuzhi,9.5875863,76.5469395,ChIJ3ws9_f4rBjsRrV5tqxcTJ_g,https://www.google.com/maps/place/?q=place_id:ChIJ3ws9_f4rBjsRrV5tqxcTJ_g,part_301,2026-09-20 20:16:41,825
CHILLAVA ICE CREAM,Ice Cream Parlour,Restaurant,Restaurant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97442 88666,N/A,5.0,,"Ponkunnam, Keralam 686518",686518,9.5672446,76.7535229,ChIJS5pfYpM1BjsRKoLY0tB-avo,https://www.google.com/maps/place/?q=place_id:ChIJS5pfYpM1BjsRKoLY0tB-avo,part_301,2026-09-20 20:16:42,826
