business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Krishna Convention Centre,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 99954 88022,N/A,3.9,187.0,"Pazhaveedu Temple Road, Thiruvambady, Anantha Narayanapuram, Alappuzha, Keralam 688009","Thiruvambady, Anantha Narayanapuram",9.4815354,76.3438406,ChIJr6SIHqCFCDsRd-y1wP87UjI,https://www.google.com/maps/place/?q=place_id:ChIJr6SIHqCFCDsRd-y1wP87UjI,part_303,2026-09-20 20:16:57,2942
Anjali Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 477 226 7855,N/A,3.7,507.0,"F88Q+FV6, Salem-Kanyakumari Highway, Kalarcode, Thookkukulam, Alappuzha, Paravur, Kerala 688003","Kalarcode, Thookkukulam",9.4661653,76.3396285,ChIJG2h0mseECDsRrYT7EwMQ5Mo,https://www.google.com/maps/place/?q=place_id:ChIJG2h0mseECDsRrYT7EwMQ5Mo,part_303,2026-09-20 20:16:57,2943
Raiban Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 477 225 1931,N/A,3.5,591.0,"F8RP+JV9, Municipal Stadium Ward, Vellakkinar, Alappuzha, Keralam 688001","Municipal Stadium Ward, Vellakkinar",9.4915411,76.3372244,ChIJ1f2Dg_OECDsRXPQZN7QQUVE,https://www.google.com/maps/place/?q=place_id:ChIJ1f2Dg_OECDsRXPQZN7QQUVE,part_303,2026-09-20 20:16:57,2944
SNDP Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 94962 74860,N/A,3.5,115.0,"F8FJ+75W, Kuthirapanthy, Thiruvampady P.O, Kerala 688002",Vadackal,9.4732451,76.33045969999999,ChIJfXj7v8KECDsR_MfK266kwxI,https://www.google.com/maps/place/?q=place_id:ChIJfXj7v8KECDsR_MfK266kwxI,part_303,2026-09-20 20:16:57,2945
Manasameera Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 477 227 2643,N/A,3.8,769.0,"SH 12, Ambalapuzha, Keralam 688561",688009,9.3831357,76.3632119,ChIJX1uKc_abCDsRLvXBH2iZOn4,https://www.google.com/maps/place/?q=place_id:ChIJX1uKc_abCDsRLvXBH2iZOn4,part_303,2026-09-20 20:16:57,2946
Elegance Event Home,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,5.0,114.0,"Kareelakulangara, Keerikkad, Keralam 690508",688009,9.2001786,76.4787996,ChIJb-vBNwAfBjsRpsljZiaS7vk,https://www.google.com/maps/place/?q=place_id:ChIJb-vBNwAfBjsRpsljZiaS7vk,part_303,2026-09-20 20:16:58,2947
Sabaris Convention Center,Marriage Hall / Kalyana Mandapam,Convention center,Convention center,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 92077 73677,N/A,4.3,709.0,"Vellanayil Jn, Haripad, Keralam 690514",688009,9.293304599999999,76.4560254,ChIJTZhOb02fCDsRwxGV-cHxth4,https://www.google.com/maps/place/?q=place_id:ChIJTZhOb02fCDsRwxGV-cHxth4,part_303,2026-09-20 20:16:58,2948
"Bhuvi Convention Center & Auditorium, Haripad",Marriage Hall / Kalyana Mandapam,Convention center,"Convention center, Auditorium, Wedding venue",688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 82813 19191,https://bhuvi.net/,4.1,1367.0,"7F28+MQR, Nangiarkulangara P. O, NH 66, Haripad, Keralam 690513",688009,9.2517301,76.4668974,ChIJXYBKDtAfBjsR0n_AEIU4tX8,https://www.google.com/maps/place/?q=place_id:ChIJXYBKDtAfBjsR0n_AEIU4tX8,part_303,2026-09-20 20:16:58,2949
Reen Palace Auditorium,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 82815 21056,N/A,3.8,408.0,"7CMQ+VHM, Narakathara junction Salem-Kanyakumari Highway, Danapady Rd, Haripad, Keralam 690548",688009,9.284712299999999,76.4389229,ChIJBU6DCfafCDsRzgkROObv5Bs,https://www.google.com/maps/place/?q=place_id:ChIJBU6DCfafCDsRzgkROObv5Bs,part_303,2026-09-20 20:16:58,2950
Dhanya Auditorium.,Marriage Hall / Kalyana Mandapam,Auditorium,Auditorium,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,3.9,196.0,"7C4G+W6P, Thattarambalam - Thrikkunnapuzha Rd, Mahadevikadu, Keralam 690516",688009,9.2573349,76.4255779,ChIJo8opkkagCDsRfJxu9a9Z-Hc,https://www.google.com/maps/place/?q=place_id:ChIJo8opkkagCDsRfJxu9a9Z-Hc,part_303,2026-09-20 20:16:58,2951
