business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Clair Unisex Beauty Spa and Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Hair salon, Tattoo and piercing shop",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 79092 98948,N/A,4.8,1628.0,"CLAIR Unisex Beauty Spa and Salon, Medical Mission Junction, Pandalam, Keralam 689501",689586,9.2164219,76.6814639,ChIJuV7Cl8oXBjsRQCwTOt_JVEU,https://www.google.com/maps/place/?q=place_id:ChIJuV7Cl8oXBjsRQCwTOt_JVEU,part_305,2026-09-20 20:16:56,2686
iPearl makeup studio,Unisex Salon,Beauty Parlour,Beauty Parlour,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 96058 16098,https://ipearlmakeupstudio.com/,4.6,263.0,"Pbn building, Mamood, Konni, Keralam 689691",Mamood,9.2371208,76.8451929,ChIJLSXVPPtrBjsRN-O46U5z__I,https://www.google.com/maps/place/?q=place_id:ChIJLSXVPPtrBjsRN-O46U5z__I,part_305,2026-09-20 20:16:56,2687
RAS Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair extensions supplier, Make-up artist, Nail salon, Skin care clinic",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 99473 63939,https://rasmakeupstudio.com/,4.6,2093.0,"2nd Floor, No: 6, Deepa Towers, 143/70, Thiruvalla, Keralam 689101",689586,9.388800699999999,76.5750489,ChIJR9ORpW0kBjsRS33fGgZbGoA,https://www.google.com/maps/place/?q=place_id:ChIJR9ORpW0kBjsRS33fGgZbGoA,part_305,2026-09-20 20:16:56,2688
Zayana's Makeover & Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 90727 11165,http://zayanas.com/,4.8,1314.0,"2nd Floor, Pazhayidathu Building, Mazhuvangadu, Near, Bypass Junction, Thiruvalla, Keralam 689101",689586,9.3763015,76.5772922,ChIJ0ZGhxl8lBjsRkIFIIGtFcT4,https://www.google.com/maps/place/?q=place_id:ChIJ0ZGhxl8lBjsRkIFIIGtFcT4,part_305,2026-09-20 20:16:56,2689
Ras Makeup Studio,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Bridal shop, Eyelash salon, Facial spa, Hair extension technician, Make-up artist, Nail salon, Hairdresser",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 98477 32345,https://rasmakeupstudio.com/,4.6,2326.0,"1st Floor, Ravisree Arcade, Ramanchira, SH 1, Thiruvalla, Keralam 689107",Ramanchira,9.3953147,76.57036289999999,ChIJu1HjFhUkBjsR6jRoGs3ET_Y,https://www.google.com/maps/place/?q=place_id:ChIJu1HjFhUkBjsR6jRoGs3ET_Y,part_305,2026-09-20 20:16:56,2690
Beauty World Family Lounge,Unisex Salon,Beauty Parlour,Beauty Parlour,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94953 88624,https://beautyworldfamilylounge.in/home,5.0,6.0,"Krishnathulasi Arcade, MC Rd, Kulanada, Keralam 689503",689586,9.242377099999999,76.6724296,ChIJzQZn_w0XBjsRm7AwYCmp8xs,https://www.google.com/maps/place/?q=place_id:ChIJzQZn_w0XBjsRm7AwYCmp8xs,part_305,2026-09-20 20:16:56,2691
ALL in ALL SALON,Unisex Salon,Hair salon,Hair salon,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 63822 65878,N/A,4.8,,"State Pollution Control Board, Hospital, junction, 7Q8M V2P, Pathanamthitta, Keralam 689645",689586,9.2682184,76.7847274,ChIJtTsnGDkVBjsRQtNCA_Jny8c,https://www.google.com/maps/place/?q=place_id:ChIJtTsnGDkVBjsRQtNCA_Jny8c,part_305,2026-09-20 20:16:57,2692
Dude Makeover Studio & Salon,Unisex Salon,Barber shop,Barber shop,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 75102 82674,https://www.facebook.com/TheDudeMakeoverStudio?mibextid=LQQJ4d,4.4,,"Ponvelil Building, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.243186,76.75632879999999,ChIJw6A2SWoVBjsRpbyUL9kQYL0,https://www.google.com/maps/place/?q=place_id:ChIJw6A2SWoVBjsRpbyUL9kQYL0,part_305,2026-09-20 20:16:57,2693
Naturals Salon Adoor,Unisex Salon,Beauty Parlour,Beauty Parlour,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 88481 13819,N/A,4.7,470.0,"GROUND, AMC, XX1/409, Pathanapuram Road, Kayamkulam, Keralam 691523",689586,9.150476399999999,76.7472907,ChIJ61QwWyYTBjsR_9fiwmOfy6M,https://www.google.com/maps/place/?q=place_id:ChIJ61QwWyYTBjsR_9fiwmOfy6M,part_305,2026-09-20 20:16:59,2694
Asha's Bluemoon beautylounge,Unisex Salon,Beauty Parlour,Beauty Parlour,689587,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Keezhvaipur SO, Padimon BO, Perumpramavu BO",+91 85909 94845,N/A,4.7,,"Catholicate College Rd, Makkamkunnu, Azhoor, Pathanamthitta, Keralam 689645","Makkamkunnu, Azhoor",9.2602701,76.7780476,ChIJpS-lWhAVBjsR63gl1Qsoch0,https://www.google.com/maps/place/?q=place_id:ChIJpS-lWhAVBjsR63gl1Qsoch0,part_305,2026-09-20 20:17:37,5244
