business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Royal Residency,Hotel,Lodge,"Lodge, Condominium complex",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94470 12934,http://www.royalresidencyerumely.in/,3.9,366.0,"FRHV+JVQ Major Sasta Temple, Main Road, near to Erumely, Erumeli, Keralam 686509",686518,9.479196,76.844661,ChIJK9j9cgxIBjsRyY9q1ZMOloY,https://www.google.com/maps/place/?q=place_id:ChIJK9j9cgxIBjsRyY9q1ZMOloY,part_301,2026-09-20 20:17:02,3890
Grand Victoria Hotel,Hotel,Hotel,Hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 82817 61970,http://www.grandvictoria.in/,4.7,67.0,"Erumeli, Keralam 686509",686518,9.4803707,76.8534469,ChIJl51NeOtJBjsRQixiZ29BpLk,https://www.google.com/maps/place/?q=place_id:ChIJl51NeOtJBjsRQixiZ29BpLk,part_301,2026-09-20 20:17:02,3891
Global Residency,Hotel,Hotel,Hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 79022 54347,https://globalresidencyhotel.com/,4.9,46.0,"Puthenangadi, Kokkappally, Kanjirappally, Keralam 686507","Puthenangadi, Kokkappally",9.5575973,76.7907925,ChIJxUIZqoY3BjsRvwm0JFWSVkU,https://www.google.com/maps/place/?q=place_id:ChIJxUIZqoY3BjsRvwm0JFWSVkU,part_301,2026-09-20 20:17:02,3892
Krupa Residency (Residential Hotel),Hotel,Hotel,Hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 91883 70315,http://www.kruparesidency.com/,4.3,340.0,"KOCHUKARIPPAPARAMBIL TOWER, Kanjirapally - Erumely Rd, P O, Koovappally, Keralam 686518",P O,9.5241376,76.82813519999999,ChIJD6prhzRJBjsRg6jchX4B_W8,https://www.google.com/maps/place/?q=place_id:ChIJD6prhzRJBjsRg6jchX4B_W8,part_301,2026-09-20 20:17:02,3893
Dubai inn,Hotel,Extended stay hotel,Extended stay hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.8,11.0,"Anakkal, Po, Keralam 686508",686518,9.577558999999999,76.786684,ChIJc8S_6aE1BjsRUI15JGcqH8Q,https://www.google.com/maps/place/?q=place_id:ChIJc8S_6aE1BjsRUI15JGcqH8Q,part_301,2026-09-20 20:17:02,3894
Tranquil Farms,Hotel,Home Stay,Home Stay,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94477 07316,http://www.tranquilfarms.in/,4.8,225.0,"Karikkkattoor centre, Unnamed Road, Manimala, Keralam 686544",686518,9.482491099999999,76.7797411,ChIJ_TkhNco3BjsRBqVgMKojqWI,https://www.google.com/maps/place/?q=place_id:ChIJ_TkhNco3BjsRBqVgMKojqWI,part_301,2026-09-20 20:17:02,3895
Erumely Central Homes(E C Homes),Hotel,Lodge,"Lodge, Public parking space",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 79949 77705,N/A,4.3,32.0,"Erumeli, Keralam 686509",686518,9.4842671,76.8467343,ChIJKR1HCyJJBjsRXFBqSJ6PX-Y,https://www.google.com/maps/place/?q=place_id:ChIJKR1HCyJJBjsRXFBqSJ6PX-Y,part_301,2026-09-20 20:17:02,3896
The Hotel Elegance,Hotel,Hotel,Hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 4828 201 590,http://thehotelelegance.com/elegance-kanjirappilly-abt-cont.html,3.9,1277.0,"NH 220, opp. Panchayath Office, Kanjirappalli, Keralam 686507",686518,9.553118,76.78896499999999,ChIJmySkmXk2BjsRQgapwbpQOEk,https://www.google.com/maps/place/?q=place_id:ChIJmySkmXk2BjsRQgapwbpQOEk,part_301,2026-09-20 20:17:02,3897
Super Hotel O Erumeli Bus Terminal Kottayam Formerly Pious B Residency,Hotel,Hotel,Hotel,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 78218 73635,N/A,3.5,48.0,"Plot No. SH44, Koratty - Kannimala Rd, Erumeli, Kottayam, Kerala 686509",686518,9.4948562,76.849261,ChIJaV4GrFVJBjsRqDPH-gaKjrg,https://www.google.com/maps/place/?q=place_id:ChIJaV4GrFVJBjsRqDPH-gaKjrg,part_301,2026-09-20 20:17:02,3898
TMK Residency,Hotel,Hotel,"Hotel, Lodge",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62828 69200,N/A,3.8,32.0,"Tmk enclave, near Rani hospital k.k road Kanjirappally p.o, kottayam, Keralam 686507",686518,9.5598052,76.80052649999999,ChIJUfu0MvA1BjsRpl1fYMTCd3g,https://www.google.com/maps/place/?q=place_id:ChIJUfu0MvA1BjsRpl1fYMTCd3g,part_301,2026-09-20 20:17:02,3899
